sample_idx,time_s,dt_s,step_event,zupt_stationary,zupt_confidence,gt_pos_x_m,gt_pos_y_m,kf_pos_x_m,kf_pos_y_m,kf_pos_z_m,kf_vel_x_mps,kf_vel_y_mps,bayes_pos_x_m,bayes_pos_y_m,bayes_pos_z_m,particle_pos_x_m,particle_pos_y_m,particle_pos_z_m,kf_error_2d_m,bayes_error_2d_m,particle_error_2d_m
0,0.009318,0.009318,0,False,0.0,,,3.884757686319824e-05,7.391538949105826e-05,0.0,0.004169091406731769,0.007932541487403149,0.059247448619477526,0.06059160902228561,0.021567461598910098,3.112500797603394e-05,-0.0005075750406555635,-1.3474317430306758e-05,,,
1,0.14068,0.131362,0,False,0.0,,,0.004062626607121445,0.008063677390678061,0.0,0.029093819688654144,0.05774965865186544,0.07693250740104188,0.07612386320552139,0.15846012065122153,0.0008521112398243103,0.0012678621021054034,-2.909950131544776e-05,,,
2,0.17464,0.03396,0,False,0.0,,,0.004167931310339483,0.008128149581709765,0.0,0.02399800418996842,0.046800264211974,0.09068634915039246,0.09706950319493171,0.14139574317532394,0.001061787668116903,0.0017555301800945612,5.787079636592576e-05,,,
3,0.201312,0.026671,0,False,0.0,,,0.00418566054212759,0.007926463842799793,0.0,0.020881453158885073,0.039539269200626684,0.08282850689597315,0.09669652160702215,0.11590871444685846,0.0012504273997999665,0.0021654047037763494,3.781271313519323e-05,,,
4,0.234186,0.032874,0,False,0.0,,,0.004584456894644426,0.008526845343805291,0.0,0.019641834837698754,0.03652519829394187,0.09926709733966825,0.09869979862863394,0.14998530067231677,0.0015379199092153597,0.0026962239232209972,-4.378488806401091e-05,,,
5,0.26213,0.027945,0,False,0.0,,,0.004831753874423092,0.00895010507493826,0.0,0.01847960200995047,0.034222895859475334,0.08867566721872082,0.08526707774976337,0.15268305808770244,0.0017829871535525162,0.003182794567682793,1.7184261188234865e-05,,,
6,0.290309,0.028179,0,False,0.0,,,0.005085300491186952,0.009485975920878393,0.0,0.017548604422897563,0.03272984321031335,0.09363203757354333,0.09888418646328546,0.15416380963755735,0.002040219594160805,0.0036952838155961086,-1.1482355650215513e-05,,,
7,0.317025,0.026715,0,False,0.0,,,0.005295906983217093,0.009895819903773542,0.0,0.016723487417990252,0.03124538125519529,0.08778608158425293,0.07969342039459439,0.14259491754136008,0.002291888616100287,0.004189548070807518,-7.5568787055606695e-06,,,
8,0.351,0.033975,0,False,0.0,,,0.005789057902222224,0.01069668943382477,0.0,0.016506213247659936,0.030490456153216626,0.08326024125390724,0.09828300239372144,0.15327231738425348,0.002630117893191834,0.004809514727349186,-3.48017543615792e-05,,,
9,0.377641,0.026642,0,False,0.2,,,0.006046940966440583,0.011086379236652576,0.0,0.016015707345398065,0.029350632791229927,0.08705594550402498,0.09571823249347851,0.15573320473604885,0.0028885472761117953,0.005332576276099059,-7.3211754843606115e-06,,,
10,0.411895,0.034253,0,False,0.4,,,0.006578579664413976,0.012019603916579663,0.0,0.015973624156766765,0.029171539834771328,0.07640940523648951,0.08774974491022704,0.17508454359430048,0.003244492666714454,0.006024576129220382,-8.893588159414666e-05,,,
11,0.440976,0.029081,0,False,0.6,,,0.0069372056086321006,0.012680446649235923,0.0,0.0157272370432237,0.028735326524859706,0.09495483367378071,0.09957923467556355,0.17089867946461304,0.003553927566623846,0.006636993789244885,5.336093322047142e-05,,,
12,0.465348,0.024372,0,False,0.8,,,0.007146790385863091,0.013075391951701706,0.0,0.015343422337782714,0.028060595090945877,0.09926599511857194,0.09308559647025097,0.18529643364108497,0.0037996353898088427,0.007151411930920704,-4.056220205046008e-05,,,
13,0.49916,0.033812,0,True,1.0,,,0.0011391568340145507,0.002087352625875961,0.0,0.0018286234883719155,0.0033420441357251453,0.10498103070054966,0.10702997925420234,0.21249221332516807,0.004072842805982962,0.00773824271984595,1.849304997268658e-05,,,
14,0.525824,0.026665,0,True,1.0,,,0.0007843727549536357,0.0014348951160349922,0.0,0.0010047048437085634,0.0018279702649353455,0.10263542918294272,0.08373872775636225,0.19422131788117877,0.004280356674591861,0.008144130710580642,3.489005329727565e-05,,,
15,0.559539,0.033715,0,True,1.0,,,0.0006775634692917955,0.0012385292908614336,0.0,0.0007038609489064765,0.0012762580886579692,0.09910410800954657,0.09387026785973847,0.21812296234503575,0.004588260247960283,0.008697461949971428,2.896666857284016e-05,,,
16,0.586255,0.026716,0,True,1.0,,,0.0006229965669239251,0.0011397322815675877,0.0,0.0005401428151838412,0.0009797239734068138,0.11101305605812568,0.1019031358877256,0.22018926017673018,0.004798353839741833,0.009141866110257755,3.476159424524822e-05,,,
17,0.612953,0.026698,0,True,1.0,,,0.0005951702429160516,0.0010892636854768758,0.0,0.00043967047027263124,0.0007974930490478143,0.09265988265773863,0.10103348619374052,0.19948470207878605,0.005013165636246331,0.009587667186518533,2.609504022074026e-05,,,
18,0.646621,0.033668,0,True,1.0,,,0.0005849580722338501,0.0010711795334621692,0.0,0.00037140753364751163,0.0006748731258901146,0.10006396758734505,0.10644970603705123,0.249493120506675,0.005319942581314892,0.010193694836302636,2.9534726431162774e-06,,,
19,0.673301,0.02668,0,True,1.0,,,0.0005763268858715781,0.001055033484721165,0.0,0.00031683242358341077,0.0005743447174677994,0.10793720756939847,0.09851628577526175,0.25818235412291496,0.0055506752548894304,0.010640549766559202,-9.37219911523012e-06,,,
20,0.699948,0.026647,0,True,1.0,,,0.0005723715362625465,0.0010467772720086984,0.0,0.0002771927543312629,0.0004990146118620756,0.11744602370382931,0.09773666306594728,0.27176613091984464,0.005785465254484081,0.01107817307905701,-2.0341574428818203e-05,,,
21,0.733774,0.033826,0,True,1.0,,,0.0005747310816792737,0.0010504450932295006,0.0,0.0002510050741827176,0.0004497059848843838,0.1076467855201244,0.09131670858311469,0.29499894451104486,0.0060945920076771526,0.011672812326123232,2.5400404375744807e-05,,,
