step_idx,timestamp,dt,heading_change_rad,step_length_m,x_m,y_m,var_x,var_y,neff,inside_map
0,15.543981,0.048914,0.04168800000000002,0.72,5.679785529388407,3.5698085844106213,0.13673124951608598,0.1500110078660573,2465.2328502406062,1.0
1,19.177325,0.047355,-0.006661,0.72,6.3594833192311695,3.642444991951252,0.1537530118503165,0.2595271395479678,2411.1465362773793,1.0
2,19.824889,0.050813,0.0048799999999999955,0.72,7.022430139650995,3.7653883155380656,0.18402565710736812,0.4689923668968423,2314.858889375421,1.0
3,20.648478,0.043539,0.006878000000000023,0.72,7.67513926642752,3.947798044027903,0.22583197711067227,0.7634289606583192,2176.167165420023,1.0
4,21.343471,0.050931,0.0009370000000000003,0.72,8.323018098471195,4.169487284416191,0.27741728738258803,1.0955375795771696,2016.416104053015,1.0
5,21.910378,0.050905,0.031504,0.72,8.963698012114081,4.427338619931434,0.3413157521369695,1.4127129554720868,1859.25909854097,1.0
6,22.76144,0.045199,0.007235999999999999,0.72,9.605811952520668,4.68349564112918,0.4145152416366482,1.6795719925311872,1713.7830245409336,1.0
7,23.42024,0.04859,0.020320000000000008,0.72,10.254573781416251,4.927311923655726,0.47754006847603814,1.8976103439722674,1578.5110177975428,1.0
8,29.203159,0.05115,-0.002714999999999801,0.72,10.915976028804621,5.12610115982809,0.5310324914138345,2.063736497052897,1444.18271702916,1.0
9,29.630592,0.04351,-0.004742999999999942,0.72,11.59558584894767,5.270980113771464,0.5692412046433796,2.1826442878838175,2500.0,1.0
10,30.345633,0.043269,-0.0004309999999998481,0.72,12.290189243213787,5.363942889436521,0.585261381902076,2.2639771076190662,2424.680838946773,1.0
11,31.787863,0.044098,0.0013220000000000454,0.72,12.994464158203318,5.409902421859821,0.5748125277047618,2.2860390912165274,2238.3317027729513,1.0
12,32.433487,0.050035,-0.0033890000000003084,0.72,13.699945605696476,5.422120851219368,0.5697062714973524,2.303451514891632,2006.398256202656,1.0
13,33.220813,0.05067,0.008267000000000024,0.72,14.410932076409512,5.408031928331297,0.5523088363116555,2.3086051065634488,1764.9748105771516,1.0
14,34.005225,0.050622,0.0022890000000002075,0.72,15.119682258397582,5.377977438229476,0.5476061693552047,2.3040730883589373,1541.61549200489,1.0
15,39.697913,0.048415,-0.006556000000000006,0.72,15.823595079099917,5.332794616224731,0.557237941057016,2.340814399243899,2500.0,1.0
