timestamp,dt,heading_rad,accel_x,accel_y,accel_z,accel_norm,step_event
0.004087,0.004087,1.926648,0.02085,-0.12399,0.984292,0.992289,0
0.132131,0.128044,1.926617,0.019396,-0.122784,0.982586,0.990417,0
0.165923,0.033792,1.926214,0.019638,-0.123749,0.985023,0.99296,0
0.19259,0.026667,1.925477,0.02182,-0.063925,0.984048,0.986363,0
0.222109,0.029519,1.925105,0.021093,-0.123025,0.983561,0.991449,0
0.252861,0.030752,1.924891,0.02182,-0.125196,0.982586,0.99077,0
0.279892,0.02703,1.924332,0.019881,-0.064407,0.982586,0.984895,0
0.306924,0.027033,1.92387,0.021335,-0.124231,0.983804,0.991846,0
0.333789,0.026864,1.923282,0.02085,-0.124714,0.984048,0.992138,0
0.360536,0.026747,1.922464,0.021335,-0.12399,0.984292,0.9923,0
0.394671,0.034135,1.921508,0.021093,-0.124473,0.983561,0.99163,0
0.421637,0.026966,1.920638,0.020123,-0.125679,0.983804,0.992003,0
0.455503,0.033866,1.919818,0.020608,-0.12399,0.983804,0.991801,0
0.482247,0.026744,1.919123,0.020608,-0.124473,0.984535,0.992586,0
0.516925,0.034678,1.918447,0.020123,-0.124231,0.983073,0.991096,0
0.543717,0.026793,1.917927,0.021093,-0.123749,0.984048,0.992023,0
0.577612,0.033895,1.917665,0.02182,-0.12399,0.983317,0.991343,0
0.604361,0.026749,1.91757,0.02085,-0.124231,0.98551,0.993528,0
0.635801,0.03144,1.917309,0.02085,-0.062719,0.984048,0.986265,0
0.662555,0.026755,1.91718,0.021093,-0.123749,0.985754,0.993715,0
0.689296,0.026741,1.917055,0.02085,-0.124955,0.985023,0.993136,0
0.723017,0.033721,1.916833,0.022305,-0.123508,0.981855,0.989843,0
0.749893,0.026876,1.91653,0.02182,-0.123749,0.986241,0.994214,0
0.783734,0.033841,1.916569,0.02279,-0.123749,0.983561,0.991577,0
0.810704,0.02697,1.916509,0.021093,-0.124714,0.985754,0.993835,0
0.84442,0.033715,1.916302,0.021335,-0.124231,0.984292,0.99233,0
0.871161,0.026741,1.916134,0.021335,-0.124231,0.984292,0.99233,0
0.897848,0.026687,1.916095,0.022063,-0.123749,0.984292,0.992285,0
0.931701,0.033853,1.915951,0.021093,-0.124231,0.982586,0.990633,0
0.958382,0.026681,1.915848,0.022547,-0.124714,0.986729,0.994834,0
0.98502,0.026638,1.91585,0.02085,-0.125196,0.984292,0.992441,0
1.018772,0.033752,1.915931,0.020608,-0.124473,0.984292,0.992345,0
1.045495,0.026723,1.915903,0.021093,-0.124714,0.983561,0.99166,0
1.072326,0.026831,1.915917,0.02085,-0.123749,0.984048,0.992018,0
1.09898,0.026654,1.915967,0.021335,-0.123508,0.984048,0.991998,0
1.125816,0.026836,1.915932,0.021335,-0.122784,0.986241,0.994084,0
1.152504,0.026689,1.915796,0.021093,-0.124955,0.983073,0.991207,0
1.186282,0.033778,1.915627,0.020123,-0.124714,0.987703,0.995749,0
1.212973,0.026691,1.915703,0.02085,-0.124231,0.983561,0.991594,0
1.239656,0.026683,1.915874,0.022063,-0.124231,0.986241,0.99428,0
1.271834,0.032177,1.916088,0.020123,-0.124231,0.98551,0.993513,0
1.298573,0.026739,1.916198,0.021335,-0.123749,0.986972,0.994929,0
1.325212,0.026639,1.916178,0.020608,-0.123749,0.985023,0.992979,0
1.351759,0.026547,1.916011,0.021335,-0.124231,0.986729,0.994747,0
1.378319,0.02656,1.916113,0.020123,-0.124714,0.984535,0.992607,0
1.405019,0.026699,1.916123,0.020123,-0.124955,0.985754,0.993846,0
1.438655,0.033636,1.916287,0.020365,-0.123508,0.984535,0.992461,0
1.465179,0.026524,1.916506,0.021093,-0.124955,0.986729,0.994833,0
1.491695,0.026516,1.916649,0.021578,-0.124473,0.985266,0.993332,0
1.523046,0.031351,1.916746,0.020123,-0.123749,0.987703,0.995629,0
1.549695,0.026649,1.916605,0.02085,-0.12592,0.983317,0.991566,0
1.576254,0.026559,1.916447,0.020123,-0.124473,0.985754,0.993785,0
1.602808,0.026554,1.916511,0.021093,-0.124473,0.986241,0.994289,0
1.636531,0.033723,1.916631,0.021093,-0.123508,0.983804,0.991751,0
1.663163,0.026632,1.916759,0.021093,-0.12399,0.984779,0.992778,0
1.689699,0.026536,1.917013,0.02085,-0.12399,0.984535,0.992531,0
1.723279,0.03358,1.917243,0.021093,-0.123508,0.984535,0.992476,0
1.749844,0.026564,1.917557,0.020608,-0.184538,0.984048,1.001414,0
1.776473,0.026629,1.917774,0.020123,-0.12592,0.986241,0.994451,0
1.810147,0.033673,1.918118,0.02085,-0.123025,0.985997,0.993862,0
1.83689,0.026743,1.918597,0.02085,-0.183814,0.985266,1.002483,0
1.863518,0.026628,1.918786,0.021093,-0.12399,0.984048,0.992053,0
1.897077,0.033558,1.918807,0.02085,-0.121819,0.984779,0.992504,0
