timestamp,dt,heading_rad,accel_x,accel_y,accel_z,accel_norm,step_event
0.000743,0.000743,1.718486,0.011395,0.002185,0.995502,0.995569,0
0.131712,0.130968,1.71852,0.014304,0.003156,0.995502,0.995609,0
0.158597,0.026885,1.718622,0.013092,0.002428,0.997207,0.997296,0
0.185613,0.027016,1.718655,0.01285,0.001942,0.999157,0.999242,0
0.214661,0.029048,1.718482,0.011153,0.001942,0.995014,0.995079,0
0.245647,0.030986,1.71807,0.009698,0.000728,0.996233,0.99628,0
0.270576,0.024929,1.717308,0.00897,0.000728,0.99672,0.996761,0
0.297379,0.026803,1.716394,0.00994,0.001214,0.99672,0.99677,0
0.324102,0.026723,1.715462,0.013819,0.005099,0.998182,0.998291,0
0.359044,0.034942,1.714251,0.012607,0.001942,0.998913,0.998995,0
0.392791,0.033747,1.713313,0.007273,0.001214,0.996233,0.99626,0
0.419499,0.026708,1.712591,0.008486,0.000971,0.992577,0.992614,0
0.446233,0.026734,1.711807,0.016001,0.002185,0.997695,0.997826,0
0.480155,0.033922,1.71105,0.015032,0.005827,0.999888,1.000018,0
0.506818,0.026663,1.709992,0.016244,0.007284,0.997939,0.998097,0
0.540955,0.034137,1.708803,0.023032,0.000728,0.99672,0.996986,0
0.567806,0.026851,1.707608,0.008728,0.007284,0.987216,0.987281,0
0.601505,0.033699,1.706762,0.010668,-0.002171,1.000132,1.000191,0
0.628072,0.026567,1.705911,0.008243,0.061427,0.993308,0.99524,0
0.655009,0.026937,1.705099,0.006788,0.001942,0.999157,0.999182,0
0.688669,0.03366,1.704273,0.010668,0.060941,0.998426,1.000341,0
0.715473,0.026804,1.703568,0.008486,0.002914,0.991602,0.991643,0
0.742201,0.026728,1.703027,0.014547,0.002185,0.999157,0.999265,0
0.777502,0.035301,1.702675,0.013819,0.003885,0.994283,0.994387,0
0.812634,0.035132,1.702083,0.014547,0.005099,0.998182,0.998301,0
0.839379,0.026746,1.701305,0.015274,0.003642,0.999644,0.999768,0
0.873531,0.034152,1.700581,0.008243,0.001214,0.997207,0.997242,0
0.90026,0.026729,1.699828,0.005334,-0.001689,0.936283,0.9363,0
0.92693,0.02667,1.699073,0.008243,0.001457,0.992577,0.992613,0
0.96064,0.03371,1.699005,0.014789,0.001457,0.995258,0.995369,0
0.987351,0.026711,1.699057,0.015274,0.002428,0.999157,0.999277,0
1.014323,0.026972,1.698955,0.013819,0.00437,0.999157,0.999262,0
1.046063,0.03174,1.698763,0.013819,0.002428,0.997451,0.99755,0
1.076811,0.030748,1.698827,0.01188,0.002914,0.99672,0.996795,0
1.106877,0.030067,1.699173,0.01285,0.00437,0.998913,0.999006,0
1.134831,0.027954,1.6995,0.012607,0.005584,0.998426,0.998521,0
1.161531,0.0267,1.699749,0.01091,0.001214,0.936771,0.936835,0
1.195263,0.033732,1.700033,0.009455,-0.000482,0.995258,0.995303,0
1.221945,0.026683,1.700078,0.008243,0.000971,0.936283,0.93632,0
1.248668,0.026723,1.700025,0.01188,0.00437,0.998182,0.998263,0
1.282574,0.033905,1.699839,0.014789,0.004127,0.998182,0.9983,0
1.309641,0.027068,1.699517,0.014547,0.004127,0.997939,0.998053,0
1.343406,0.033765,1.699217,0.00994,0.001942,0.998913,0.998965,0
1.370199,0.026793,1.699024,0.008243,0.001214,0.991115,0.99115,0
1.403984,0.033785,1.698965,0.008486,0.001214,0.996476,0.996513,0
1.430748,0.026765,1.69891,0.010668,0.004613,0.995258,0.995326,0
1.457536,0.026787,1.69882,0.01188,0.0017,0.994527,0.994599,0
1.491314,0.033778,1.698817,0.012122,0.0017,0.995502,0.995577,0
1.518041,0.026728,1.698807,0.01091,0.005099,0.935796,0.935873,0
1.544818,0.026777,1.69887,0.011395,0.002428,0.936771,0.936843,0
1.578666,0.033848,1.698893,0.012607,0.002428,0.994527,0.99461,0
1.605384,0.026718,1.698745,0.012607,0.002185,0.998426,0.998508,0
1.639183,0.033799,1.698319,0.01091,0.001942,0.996476,0.996538,0
1.666164,0.026981,1.697853,0.010183,0.000971,0.995502,0.995554,0
1.700016,0.033852,1.69754,0.008728,0.0017,0.995745,0.995785,0
1.726781,0.026765,1.697217,0.01091,0.002185,1.057888,1.057947,0
1.753772,0.026991,1.696852,0.011395,0.001942,0.995014,0.995081,0
1.78408,0.030308,1.696417,0.012122,0.002185,0.996233,0.996309,0
1.810889,0.02681,1.69625,0.012365,0.003156,0.995745,0.995827,0
1.83776,0.026871,1.696227,0.011637,0.003156,0.995014,0.995087,0
1.864563,0.026803,1.696149,0.010183,0.002185,0.993796,0.99385,0
1.891385,0.026822,1.696161,0.00994,0.001214,0.993065,0.993115,0
1.918219,0.026834,1.696224,0.00897,0.001214,0.992577,0.992619,0
1.945014,0.026795,1.696443,0.00994,0.0017,0.995258,0.995309,0
1.978856,0.033842,1.696746,0.010183,0.002428,0.993796,0.993851,0
2.005788,0.026932,1.697037,0.01091,0.002185,0.994039,0.994102,0
2.039708,0.03392,1.697322,0.011395,0.003885,0.994283,0.994356,0
2.066657,0.026949,1.697523,0.01285,0.002914,0.994771,0.994858,0
2.100473,0.033816,1.697392,0.01091,0.004127,0.993796,0.993864,0
2.127254,0.026781,1.697276,0.011395,0.002185,0.994039,0.994107,0
2.161048,0.033795,1.697262,0.00994,0.001457,0.994039,0.99409,0
2.187787,0.026738,1.697189,0.010425,0.0017,0.994527,0.994583,0
2.214652,0.026866,1.697149,0.00994,0.001942,0.995014,0.995066,0
2.248356,0.033704,1.697238,0.00994,0.002671,0.994771,0.994824,0
2.275328,0.026972,1.69739,0.01188,0.003156,0.993308,0.993384,0
2.310039,0.03471,1.697664,0.011637,0.003399,0.992821,0.992895,0
2.341654,0.031615,1.697792,0.010668,0.001942,0.993552,0.993611,0
2.368421,0.026767,1.697793,0.01091,0.003156,0.992334,0.992399,0
2.395313,0.026892,1.697881,0.010425,0.002428,0.994771,0.994828,0
2.422001,0.026688,1.697937,0.01091,0.003885,0.993552,0.99362,0
2.448825,0.026824,1.697981,0.011637,0.002185,0.99209,0.992161,0
2.475586,0.026761,1.698083,0.010183,0.001942,0.994527,0.994581,0
2.509309,0.033723,1.698169,0.010668,0.002671,0.993065,0.993126,0
2.536114,0.026805,1.698424,0.012122,0.002185,0.993552,0.993628,0
2.569993,0.033879,1.698733,0.011153,0.002671,0.994039,0.994106,0
2.596849,0.026857,1.69884,0.011153,0.002428,0.994527,0.994592,0
2.62354,0.02669,1.698819,0.010183,0.002185,0.993552,0.993607,0
2.658447,0.034907,1.698935,0.010183,0.002185,0.994771,0.994825,0
2.692188,0.033741,1.698893,0.010183,0.0017,0.993796,0.993849,0
2.719132,0.026945,1.698652,0.010425,0.002914,0.993308,0.993367,0
2.752939,0.033807,1.698268,0.01188,0.002671,0.994039,0.994114,0
2.779769,0.026829,1.697806,0.010425,0.003399,0.995014,0.995075,0
2.81355,0.033781,1.697638,0.011395,0.0017,0.994039,0.994106,0
2.840478,0.026928,1.697736,0.01091,0.002428,0.995014,0.995077,0
2.867338,0.02686,1.697703,0.010425,0.0017,0.997207,0.997263,0
2.901247,0.033908,1.697211,0.011395,0.003156,0.995258,0.995328,0
2.927979,0.026732,1.696577,0.011153,0.002428,0.994771,0.994836,0
2.961846,0.033867,1.695894,0.008243,0.002671,0.995989,0.996027,0
2.988591,0.026745,1.695291,0.010668,0.002671,0.996233,0.996293,0
3.022623,0.034032,1.694827,0.00897,0.0017,0.995502,0.995544,0
3.049554,0.026931,1.694542,0.008728,0.0017,1.058132,1.058169,0
3.083374,0.03382,1.694434,0.009455,0.0017,0.99672,0.996766,0
3.11007,0.026695,1.694365,0.010425,0.001457,0.996964,0.997019,0
3.136819,0.026749,1.69436,0.012365,0.002914,0.995258,0.995339,0
3.170582,0.033764,1.694418,0.011153,0.002428,0.994527,0.994592,0
3.197302,0.02672,1.696473,0.059157,0.024036,0.991846,0.993899,0
3.223943,0.026641,1.697102,-0.010861,0.02525,0.951392,0.951789,0
3.257674,0.033731,1.699754,0.012122,-0.004825,0.997207,0.997293,0
3.284694,0.02702,1.714379,-0.017772,0.047102,1.00135,1.002615,0
3.316006,0.031312,1.714361,0.001697,0.009712,0.967476,0.967527,0
3.343245,0.027239,1.708747,-0.00543,0.048801,0.974787,0.976023,0
3.370153,0.026908,1.708211,0.016729,0.064826,0.950661,0.953016,0
3.396836,0.026683,1.709523,0.004364,-0.028465,0.991846,0.992264,0
3.423562,0.026726,1.704131,-0.013329,-0.065855,0.939939,0.942337,0
3.457268,0.033706,1.703561,0.006061,-0.014474,0.979661,0.979787,0
3.483968,0.0267,1.701652,-0.013823,-0.006513,0.993065,0.993182,0
3.510627,0.026659,1.702302,0.042186,0.03132,0.992821,0.99421,0
3.544316,0.03369,1.703698,-0.031348,-0.028947,1.00135,1.002259,0
3.571064,0.026748,1.705243,-0.150817,-0.065131,0.966502,0.980364,0
3.597723,0.026659,1.719333,0.097463,-0.030394,0.945544,0.951039,0
3.631418,0.033695,1.723806,0.159529,0.065797,0.937989,0.953731,0
3.658271,0.026852,1.726163,-0.001481,0.063369,0.987703,0.989735,0
3.685013,0.026742,1.72673,0.001212,0.019423,0.993308,0.993499,0
3.719647,0.034634,1.72864,0.001455,0.02258,0.989409,0.989668,0
3.753366,0.033719,1.732288,0.009455,-0.029671,0.984292,0.984784,0
3.78016,0.026795,1.73845,0.083159,0.036419,0.970888,0.975123,0
3.806848,0.026687,1.736581,-0.076519,0.11824,1.044485,1.053937,0
3.840675,0.033827,1.73373,0.068127,-0.003618,0.993065,0.995405,0
3.867354,0.026679,1.733233,0.036367,0.030835,1.059838,1.06091,0
3.901042,0.033687,1.734593,0.015517,-0.053552,0.988922,0.990492,0
3.927702,0.026661,1.736245,-0.001481,0.004613,0.991115,0.991127,0
3.954369,0.026666,1.737542,-0.01407,-0.013026,1.013535,1.013717,0
3.988055,0.033686,1.741536,0.050186,-0.001689,1.160241,1.161327,0
4.01477,0.026715,1.756626,-0.03826,0.018695,0.991846,0.99276,0
