step_idx,timestamp,dt,heading_change_rad,heading_rad,step_length_m,x_m,y_m,var_x,var_y,neff,map_probability,walkable
0,3.018521,0.033683,0.0,-2.0943951023931957,0.47,4.598530826061224,5.736777379964543,0.030506072308952928,0.022286611613533527,9.0,0.00025354969573988654,1.0
1,4.587528,0.041009,0.34245400000000004,-1.8325957145940461,0.47,4.582101981447244,5.305636243470433,0.05604951716431491,0.02872553706412578,25.0,0.00025354969573988654,1.0
2,5.990508,0.02658,-0.01120499999999991,-1.8325957145940461,0.47,4.395178313955036,4.898892604278323,0.06068530616319373,0.03374053392222249,44.0,0.0002535436531065057,1.0
3,6.575553,0.026749,0.07859900000000009,-1.8325957145940461,0.47,4.357435650780382,4.484678243158535,0.06489230370851201,0.0371250341147222,55.0,0.0002535050463828502,1.0
4,7.33946,0.026602,-0.1640290000000002,-2.0943951023931957,0.47,4.2351962560172876,4.0695877539574274,0.05417765308123725,0.038850548179766804,59.0,0.0002534213433358687,1.0
5,7.863547,0.026599,0.05705099999999996,-2.0943951023931957,0.47,4.204036383288018,3.6436379850789504,0.040923827154668586,0.04211978715035428,62.0,0.0002506459207762673,1.0
6,8.516249,0.034456,-0.10210100000000022,-2.0943951023931957,0.47,4.193053612019144,3.2037073222245107,0.03233667888557902,0.04200009203316552,62.0,0.00024379323255209508,1.0
7,9.151464,0.03482,0.12980199999999975,-2.094264709147005,0.47,4.0722850124976615,2.7410807247799616,0.04903704961255921,0.03602737904761948,75.0,0.00024080179756818935,1.0
8,9.870365,0.026584,-0.04594699999999996,-2.094282990482911,0.47,3.903317371486191,2.336489913992821,0.06332904383236364,0.03521284610208692,95.0,0.0002534507049485391,1.0
9,10.636081,0.033536,0.009257999999999988,-2.0941176574450058,0.47,3.7849366344907907,2.0532212952246023,0.11069682962580354,0.04504049204293497,120.0,0.00019734989857612097,1.0
