step_idx,timestamp,dt,heading_change_rad,heading_rad,step_length_m,x_m,y_m,var_x,var_y,neff,map_probability,walkable
0,3.6559,0.031041,0.0,-1.887898864944592,0.47,4.649837559442188,5.805265907229746,0.024419601061067234,0.023256418304023297,2999.8721239492547,0.00025354969573988654,1.0
1,4.222431,0.027356,0.0,-1.8865564438806917,0.47,4.5043213863121405,5.359288810895167,0.02840410415419787,0.02434535241829372,2997.500362762659,0.00025354969573988654,1.0
2,4.816336,0.036237,0.0,-1.8874245841766824,0.47,4.357655789636865,4.915518018887668,0.03549149238898997,0.025769675838564668,2992.461631580773,0.00025354816792290494,1.0
3,5.552668,0.026734,0.0,-1.8832435884409102,0.47,4.227405523969242,4.470987221478316,0.04040693051861752,0.028346859063498063,2924.1701611681233,0.00025353338200134127,1.0
4,6.328386,0.026481,0.0,-1.85919076928397,0.47,4.162222386901176,4.018931010309568,0.036868877897393675,0.029313021438263635,2438.127573285941,0.00025242801493703643,1.0
5,7.015833,0.026442,0.0,-1.8130452915064312,0.47,4.1753810985707,3.5356321297632842,0.02922020499624371,0.03269893649749391,3000.0000000000005,0.00024379387687970732,1.0
6,7.616477,0.026437,0.0,-1.7785835903378953,0.47,4.166432587812395,3.040479679420976,0.026936024251342183,0.0325149710693389,2227.4879777846268,0.0002439052712175676,1.0
7,8.365258,0.034783,0.0,-1.7729562205395182,0.47,4.082483990008874,2.564137357922381,0.0359582380671761,0.029712416669629423,2096.0929168776142,0.00025289682627530784,1.0
8,9.102459,0.031754,0.0,-1.7669957244551837,0.47,4.015009861395613,2.13727113440199,0.048351993550582464,0.02761532806314214,1913.703255857462,0.0002430722896816477,1.0
9,10.348826,0.034769,0.0,-1.7078212192716256,0.47,4.129443869483999,1.6588768724321405,0.04355926357178717,0.04090011682944518,3000.0000000000005,0.00022738654396637273,1.0
