timestamp,dt,heading_rad,accel_x,accel_y,accel_z,accel_norm,gyro_x_rads,gyro_y_rads,gyro_z_rads,step_event
0.001145,0.001145,1.923797,0.008486,0.09566,1.014754,1.019288,0.035331,0.023747,0.006136,0
0.146966,0.145821,1.924092,0.024487,0.102944,1.013048,1.018559,0.043268,0.046392,0.001969,0
0.190752,0.043787,1.923387,0.017456,0.114113,1.016216,1.022752,-0.006773,-0.003002,0.014802,0
0.238108,0.047356,1.922976,0.019153,0.108528,1.01646,1.022416,0.019913,0.012642,0.098617,0
0.276365,0.038257,1.92384,0.023517,0.107072,1.014023,1.019931,-0.005639,-0.007907,0.014824,0
0.321435,0.04507,1.922874,0.008728,0.104158,1.020115,1.025456,-0.006666,-0.011298,-0.002395,0
0.362863,0.041428,1.921461,0.024972,0.103672,1.002325,1.007982,0.000848,0.014271,-0.01632,0
0.40779,0.044927,1.919256,0.017456,0.104644,1.007686,1.013256,0.01158,0.004098,-0.008675,0
0.449146,0.041356,1.917384,0.009698,0.111685,1.020602,1.026741,-0.010032,0.007243,-0.01383,0
0.487265,0.038119,1.915181,0.015517,0.111927,1.002325,1.008675,0.011179,-0.000123,-0.002355,0
0.528603,0.041338,1.9137,0.018668,0.116298,1.008174,1.015031,-0.019708,-0.000588,0.01058,0
0.573477,0.044874,1.912053,0.016001,0.104158,1.017191,1.022635,-0.034266,-0.010432,0.002584,0
0.615011,0.041534,1.909689,0.019881,0.105129,1.016947,1.02256,-0.011928,-0.024573,-0.009261,0
0.652905,0.037893,1.907084,0.016244,0.091047,1.059106,1.063137,0.025227,0.027829,-0.014007,0
0.703834,0.05093,1.905055,0.01188,0.111442,1.012804,1.018986,-0.026255,-0.025868,-0.004389,0
0.745496,0.041662,1.903553,0.019153,0.110956,1.01256,1.018802,-0.013611,-0.000768,-0.006484,0
0.790617,0.045121,1.90294,0.022547,0.105615,1.009149,1.014911,-0.006745,-0.012886,0.002051,0
0.831964,0.041347,1.902169,0.023275,0.109257,1.011829,1.017977,-0.016416,0.016227,-0.004847,0
0.870431,0.038467,1.901098,0.017214,0.107314,1.010367,1.016196,0.007913,0.001993,0.00249,0
0.918973,0.048542,1.900078,0.013577,0.107314,1.008661,1.014445,0.030892,0.020848,-0.006908,0
0.956868,0.037895,1.898441,0.01091,0.109742,1.01914,1.02509,0.015204,0.027228,-0.008622,0
