timestamp,dt,heading_rad,accel_x,accel_y,accel_z,accel_norm,gyro_x_rads,gyro_y_rads,gyro_z_rads,step_event
0.00031,0.00031,2.015314,-0.022215,0.077208,0.969182,0.972507,0.057435,0.110907,0.060604,0
0.139073,0.138762,2.018042,0.000727,0.084492,1.000863,1.004423,-0.011101,0.042299,0.025146,0
0.187605,0.048532,2.019962,-0.026411,0.078908,1.008417,1.011845,0.002041,-0.032711,0.023663,0
0.226319,0.038714,2.021978,-0.00938,0.084977,0.999888,1.003537,-0.016132,-0.049392,0.034865,0
0.275263,0.048944,2.023394,-0.032582,0.071138,0.987703,0.990798,0.024012,-0.027539,-0.019128,0
0.320556,0.045293,2.021964,-0.035051,0.084977,0.994771,0.999009,-0.031058,-0.023836,-0.021108,0
0.362175,0.041619,2.021387,-0.015797,0.078422,0.992334,0.995553,0.024453,-0.007185,0.002801,0
0.400263,0.038088,2.020978,-0.045911,0.083763,0.937258,0.942113,-0.005988,-0.019376,0.000652,0
0.448864,0.048601,2.021039,-0.016538,0.100759,0.992577,0.997815,0.023104,0.00269,0.029819,0
0.486883,0.038019,2.019804,-0.029867,0.093961,1.006712,1.011528,-0.02949,-0.049871,-0.018603,0
0.535548,0.048665,2.01835,-0.022709,0.08522,0.986485,0.990419,-0.024331,-0.049842,-0.052049,0
0.574013,0.038464,2.015476,-0.024684,0.072109,0.989653,0.992583,0.004576,0.009053,-0.056101,0
0.622879,0.048867,2.013466,-0.002468,0.074052,0.986729,0.989506,-0.092765,0.046105,-0.026922,0
0.665792,0.042912,2.011967,-0.026165,0.088376,1.008905,1.013106,-0.064904,0.015929,-0.027739,0
0.703923,0.038131,2.010539,-0.022462,0.097117,0.997695,1.002662,-0.012833,-0.025684,-0.0229,0
0.745742,0.041819,2.00919,-0.02419,0.094204,1.000863,1.005578,-0.032059,-0.025785,-0.001866,0
0.791015,0.045273,2.008804,-0.013823,0.096631,0.984048,0.988878,-0.014866,0.003166,-0.015987,0
0.833018,0.042003,2.008736,-0.013082,0.093961,1.002325,1.006805,-0.002581,-0.028699,0.020815,0
0.878192,0.045174,2.009441,-0.007899,0.090804,0.988678,0.992871,0.011936,0.004454,0.030668,0
0.91988,0.041687,2.010732,-0.012342,0.081821,0.994771,0.998206,-0.022981,0.048527,0.036514,0
