timestamp,dt,heading_rad,accel_x,accel_y,accel_z,accel_norm,step_event
0.008714,0.008714,2.112226,0.008001,0.11654,1.00793,1.014677,0
0.155866,0.147152,2.112856,-0.004443,0.116783,0.968208,0.975235,0
0.190166,0.034299,2.113281,-0.003949,0.115812,0.963334,0.970278,0
0.225634,0.035469,2.113923,-0.00469,0.11654,0.96114,0.968191,0
0.265207,0.039573,2.114354,-0.005184,0.116298,0.960653,0.967681,0
0.292875,0.027668,2.114695,-0.005184,0.116783,0.960653,0.967739,0
0.32173,0.028855,2.114823,-0.004443,0.11654,0.96114,0.96819,0
0.353584,0.031854,2.114739,-0.006418,0.116298,0.96114,0.968172,0
0.388536,0.034952,2.114402,-0.005184,0.115812,0.960897,0.967865,0
0.427702,0.039166,2.113988,-0.006665,0.11654,0.962846,0.969896,0
0.461106,0.033403,2.113649,-0.00543,0.11654,0.962359,0.969405,0
0.495744,0.034638,2.113405,-0.006665,0.115326,0.96309,0.969993,0
0.526645,0.030901,2.113245,-0.005677,0.115569,0.96309,0.970016,0
0.557462,0.030817,2.113178,-0.007158,0.11654,0.964308,0.971351,0
0.594478,0.037016,2.113041,-0.006418,0.116783,0.966258,0.973311,0
0.632197,0.037719,2.112481,-0.005677,0.116055,0.966014,0.972977,0
0.66,0.027803,2.111691,-0.00543,0.115812,0.966014,0.972947,0
0.693931,0.033931,2.111088,-0.004937,0.115812,0.968208,0.975122,0
0.728891,0.03496,2.110893,-0.005924,0.116298,0.968208,0.975185,0
0.762643,0.033752,2.110995,-0.006418,0.116055,0.968695,0.975643,0
0.803773,0.041131,2.111122,-0.005924,0.11654,0.969913,0.976908,0
0.835521,0.031748,2.111142,-0.006171,0.11654,0.970888,0.977877,0
0.866658,0.031137,2.111278,-0.005924,0.115569,0.96967,0.97655,0
0.912441,0.045782,2.111393,-0.00543,0.117269,0.970888,0.97796,0
0.952132,0.039691,2.111454,-0.006171,0.116298,0.971619,0.978574,0
0.992853,0.040721,2.111404,-0.005677,0.115084,0.971376,0.978186,0
1.056515,0.063663,2.111387,-0.006911,0.116055,0.971863,0.978792,0
1.115749,0.059233,2.111612,-0.006171,0.117026,0.972107,0.979145,0
1.159742,0.043993,2.11202,-0.005184,0.116055,0.973569,0.980475,0
1.192034,0.032292,2.112546,-0.005677,0.115812,0.971376,0.978272,0
1.228744,0.03671,2.11298,-0.005184,0.116055,0.971619,0.97854,0
1.267012,0.038268,2.113464,-0.00543,0.115812,0.974544,0.981416,0
1.309919,0.042907,2.114153,-0.005677,0.115326,0.974787,0.981602,0
1.351722,0.041803,2.114749,-0.00543,0.115084,0.975275,0.982056,0
1.392334,0.040612,2.114914,-0.005924,0.116055,0.975031,0.981931,0
1.423777,0.031442,2.11501,-0.005924,0.115326,0.976737,0.98354,0
1.461643,0.037866,2.115272,-0.005924,0.116055,0.975762,0.982657,0
1.502168,0.040525,2.115783,-0.006171,0.116783,0.975518,0.982503,0
1.547846,0.045678,2.116164,-0.006911,0.11654,0.976493,0.983447,0
1.602248,0.054402,2.116416,-0.005924,0.115812,0.977224,0.984081,0
1.639854,0.037606,2.116904,-0.006418,0.117512,0.977712,0.984769,0
1.677471,0.037616,2.117671,-0.007158,0.117026,0.977468,0.984475,0
1.711736,0.034265,2.118465,-0.005924,0.116055,0.978687,0.985561,0
1.746788,0.035052,2.119275,-0.005924,0.116298,0.97893,0.985832,0
1.787765,0.040977,2.120688,-0.004443,0.11654,0.977224,0.984159,0
1.819786,0.032021,2.122477,-0.005184,0.116298,0.979174,0.98607,0
1.856862,0.037077,2.123938,-0.005677,0.115569,0.979174,0.985987,0
1.886827,0.029965,2.124902,-0.005677,0.115569,0.981124,0.987923,0
1.922455,0.035628,2.12551,-0.004937,0.116298,0.981367,0.988247,0
1.954448,0.031993,2.126087,-0.005924,0.116298,0.980636,0.987526,0
1.985053,0.030605,2.126363,-0.008639,0.114598,0.97893,0.985653,0
2.015694,0.030641,2.126478,-0.007405,0.115326,0.98088,0.987664,0
2.058576,0.042882,2.126351,-0.005184,0.115326,0.98088,0.98765,0
2.089007,0.030432,2.126017,-0.00543,0.115812,0.979174,0.986014,0
2.120526,0.031519,2.125463,-0.004443,0.114113,0.982098,0.988716,0
2.159745,0.039219,2.124672,-0.005924,0.116298,0.982098,0.988978,0
2.189851,0.030106,2.124,-0.006171,0.116298,0.984292,0.991157,0
2.226465,0.036614,2.123477,-0.005677,0.115812,0.982586,0.989403,0
2.258902,0.032437,2.123076,-0.005677,0.115569,0.980636,0.987439,0
2.295739,0.036837,2.123018,-0.006171,0.116298,0.982586,0.989463,0
2.327727,0.031988,2.12315,-0.00543,0.116055,0.982098,0.988947,0
2.356916,0.029189,2.123147,-0.005677,0.117026,0.983561,0.990514,0
2.392482,0.035566,2.123276,-0.00543,0.114113,0.983073,0.989689,0
2.431748,0.039266,2.123555,-0.007158,0.116055,0.983561,0.99041,0
2.475716,0.043968,2.123862,-0.005184,0.116298,0.983317,0.990184,0
2.510417,0.0347,2.123811,-0.004937,0.115326,0.982586,0.989343,0
2.544443,0.034027,2.123597,-0.00543,0.115326,0.982098,0.988861,0
2.580308,0.035865,2.123222,-0.00543,0.116298,0.984535,0.991395,0
2.617874,0.037566,2.12274,-0.005924,0.115812,0.981367,0.988195,0
2.673908,0.056034,2.122423,-0.005677,0.115569,0.98088,0.987681,0
2.710616,0.036707,2.122046,-0.006171,0.116055,0.986241,0.993065,0
2.747759,0.037143,2.12154,-0.00543,0.116055,0.983561,0.990399,0
2.780938,0.03318,2.121208,-0.006171,0.115326,0.984292,0.991044,0
2.809733,0.028795,2.121474,-0.005677,0.115812,0.984535,0.99134,0
2.850784,0.041051,2.121848,-0.00543,0.115569,0.984048,0.990826,0
2.881859,0.031075,2.12218,-0.004443,0.115326,0.984292,0.991035,0
2.915759,0.0339,2.12255,-0.006171,0.116055,0.983804,0.990645,0
2.949669,0.03391,2.122806,-0.006171,0.116298,0.98551,0.992368,0
2.983967,0.034298,2.122902,-0.005677,0.115569,0.985266,0.992037,0
3.021195,0.037228,2.122944,-0.00543,0.116055,0.983804,0.990641,0
3.05196,0.030765,2.122852,-0.006665,0.115812,0.984292,0.991104,0
