timestamp,dt,heading_rad,accel_x,accel_y,accel_z,accel_norm,gyro_x_rads,gyro_y_rads,gyro_z_rads,step_event
0.000384,0.000384,2.068401,-0.015797,0.09736,0.987216,0.992131,-0.000301,0.024032,0.001127,0
0.146728,0.146344,2.068357,-0.026411,0.10173,0.936527,0.942406,-0.015011,0.007112,-0.020213,0
0.18899,0.042263,2.067212,-0.017525,0.093961,0.996233,1.000807,0.001309,0.019646,-0.024907,0
0.231447,0.042457,2.063954,-0.022956,0.09299,0.99209,0.996703,0.012811,0.016811,-0.04602,0
0.273979,0.042532,2.062129,-0.012095,0.093718,0.997939,1.002402,-0.008769,0.012099,-0.044244,0
0.312108,0.038129,2.060574,-0.017772,0.094932,0.993065,0.99775,-0.015926,0.02281,-0.033347,0
0.35392,0.041811,2.058263,-0.010367,0.094932,0.988434,0.993037,-0.021099,0.079328,-0.060395,0
0.399198,0.045278,2.055041,-0.02888,0.094446,1.001838,1.006694,0.003613,0.011785,-0.047798,0
0.447839,0.048641,2.052417,-0.031595,0.092261,0.990871,0.995659,0.026765,0.008194,-0.036544,0
0.485966,0.038127,2.050511,-0.023203,0.100516,0.97625,0.981685,-0.005786,0.075854,-0.029323,0
0.527546,0.04158,2.049126,-0.046899,0.096389,0.994283,1.000045,-0.014007,0.073952,-0.038584,0
0.572639,0.045094,2.047086,-0.035051,0.098088,0.995989,1.001421,0.002973,0.027098,-0.037118,0
0.614304,0.041664,2.044753,-0.022215,0.098574,0.999401,1.004496,-0.003376,0.015906,-0.050728,0
0.659833,0.04553,2.041795,-0.03357,0.094446,1.059594,1.064324,0.017702,-0.001779,-0.061587,0
0.701481,0.041648,2.039492,-0.035297,0.091533,0.999157,1.003962,0.005582,-0.064952,-0.019697,0
0.755747,0.054266,2.038445,-0.044924,0.091776,0.997207,1.002429,-0.043131,-0.043302,-0.022048,0
0.805031,0.049284,2.038364,-0.046899,0.091776,0.99209,0.997429,-0.04441,-0.023242,-0.008529,0
0.843064,0.038033,2.038257,-0.032582,0.092018,0.98551,0.990333,-0.00485,0.009063,-0.015272,0
0.892064,0.049,2.037687,-0.039741,0.094932,1.005981,1.011231,-0.046853,0.011212,-0.025141,0
0.930399,0.038335,2.036856,-0.043937,0.094689,1.058863,1.063996,0.034114,-0.064652,-0.011205,0
0.979079,0.04868,2.037696,-0.032582,0.10343,0.995014,1.000906,-0.010212,-0.08533,0.052266,0
1.017197,0.038118,2.041136,-0.047639,0.1078,1.060081,1.066613,-0.066197,-0.049661,0.087424,0
1.065907,0.048711,2.044886,-0.051589,0.099545,0.978199,0.984604,-0.066418,0.001011,0.076314,0
