timestamp,dt,heading_rad,accel_x,accel_y,accel_z,accel_norm,gyro_x_rads,gyro_y_rads,gyro_z_rads,step_event
0.000467,0.000467,1.905907,0.02279,0.010683,0.985023,0.985344,-0.007902,0.085109,-0.049172,0
0.143286,0.142819,1.905183,0.087038,0.036904,1.022308,1.02667,-0.001327,0.072708,-0.014507,0
0.192319,0.049033,1.906456,0.080734,0.006313,0.971619,0.974988,-0.082085,-0.021907,0.085737,0
0.234888,0.042568,1.909557,0.052611,0.021609,1.00135,1.002964,0.045318,-0.041284,0.002176,0
0.273044,0.038157,1.910176,0.061581,0.066525,0.973813,0.978023,-0.040128,0.033884,0.056793,0
0.314826,0.041781,1.91136,0.040004,0.004613,1.008905,1.009708,0.03749,-0.050937,-0.078119,0
0.359939,0.045113,1.908042,0.054793,0.011168,0.935796,0.937465,0.103158,-0.049716,-0.081785,0
0.401854,0.041915,1.906216,0.078552,0.039818,1.064224,1.067862,0.027197,-0.023573,-0.0184,0
0.447316,0.045463,1.905602,0.058914,0.048316,0.993552,0.996469,-0.038937,-0.034931,-0.018629,0
0.489104,0.041788,1.906555,0.085826,0.036176,0.962602,0.967098,0.005291,0.058915,0.016141,0
0.53436,0.045256,1.907843,0.05649,0.035933,0.989165,0.991429,-0.023659,0.014337,-0.044303,0
0.576014,0.041654,1.906921,0.041458,0.000486,1.008905,1.009756,0.00022,0.053683,-0.00908,0
0.621191,0.045177,1.907344,0.048004,0.02258,0.989165,0.990587,0.071342,0.036648,-0.024847,0
0.662907,0.041716,1.906545,0.054065,0.021609,1.007199,1.008881,0.00628,-0.002394,-0.026976,0
0.708032,0.045124,1.905594,0.059399,0.035933,1.010611,1.012992,0.006133,-0.089154,-0.11215,0
0.749711,0.041679,1.90268,0.058429,0.024522,0.986972,0.989004,0.008527,-0.078388,-0.062454,0
0.79504,0.04533,1.902077,0.079765,0.029863,0.992821,0.996468,-0.015939,-0.021606,-0.020743,0
0.837228,0.042188,1.902787,0.072006,0.031563,0.982586,0.985726,0.057589,-0.003709,-0.018723,0
0.882523,0.045295,1.902915,0.068855,0.032777,0.999157,1.002063,0.000907,-0.028709,-0.015458,0
0.931301,0.048778,1.902779,0.06934,0.034962,0.979905,0.982977,0.06277,-0.017737,-0.029851,0
0.96979,0.038489,1.902406,0.06934,0.035205,0.983561,0.98663,0.057726,0.015875,-0.008863,0
1.018595,0.048805,1.902905,0.061096,0.036419,0.998913,1.001442,0.044482,-0.01445,-0.013016,0
1.056785,0.03819,1.903148,0.071522,0.038361,0.985023,0.988361,0.029478,-0.001012,-0.017991,0
1.105606,0.048821,1.903318,0.072491,0.040546,0.998913,1.002361,0.006817,-0.00972,-0.032299,0
1.143754,0.038148,1.903234,0.071764,0.035933,0.989165,0.992416,0.01363,-0.012661,-0.050045,0
1.192381,0.048627,1.902593,0.064733,0.040789,0.993552,0.996494,0.034455,-0.028748,-0.057038,0
1.23066,0.038279,1.901642,0.071279,0.048316,0.982586,0.986352,0.031598,0.018208,-0.051563,0
1.280842,0.050182,1.901505,0.074431,0.051229,1.012073,1.016099,-0.027251,-0.054107,-0.014002,0
1.334774,0.053932,1.90296,0.083886,0.045888,0.979905,0.984559,-0.02024,-0.031532,-0.018989,0
1.384351,0.049577,1.90377,0.082432,0.050015,0.988434,0.993126,0.004505,-0.041325,-0.000846,0
1.430034,0.045683,1.904519,0.070552,0.053657,0.991846,0.995799,-0.005629,-0.034852,0.005307,0
1.471983,0.04195,1.905068,0.080007,0.049287,0.994039,0.998471,-0.054779,0.008596,0.005454,0
1.517191,0.045208,1.905541,0.081947,0.044917,0.982098,0.986534,-0.053195,0.026367,-0.011106,0
1.55881,0.041619,1.905494,0.069097,0.036904,0.978687,0.981817,-0.099784,0.065429,0.007192,0
1.604017,0.045207,1.906769,0.050671,0.038118,0.945056,0.947181,-0.122997,0.384301,-0.00808,0
1.645694,0.041677,1.908368,0.078795,0.046616,1.01646,1.020574,-0.059772,0.319243,0.015438,0
1.690832,0.045137,1.910456,0.077098,0.049772,1.017434,1.021565,0.005401,0.016679,0.000916,0
1.732463,0.041631,1.912035,0.09019,0.037147,1.001594,1.006332,0.062813,-0.147325,0.02656,0
1.777604,0.045141,1.914949,0.062551,0.045888,0.997207,1.00022,0.054766,-0.172084,0.036273,0
