timestamp,dt,heading_rad,accel_x,accel_y,accel_z,accel_norm,step_event
0.001192,0.001192,2.078439,-0.044677,0.102944,1.010123,1.016338,0
0.134835,0.133643,2.079393,-0.022462,0.11654,0.991359,0.998438,0
0.171741,0.036906,2.078765,-0.027152,0.11217,0.999888,1.006527,0
0.205657,0.033916,2.077933,-0.029373,0.115326,1.002325,1.009366,0
0.242755,0.037098,2.076671,-0.019994,0.120425,0.97625,0.983852,0
0.275018,0.032262,2.076888,-0.018019,0.132079,0.971376,0.98048,0
0.313287,0.03827,2.076907,-0.027892,0.117512,0.99867,1.005946,0
0.343581,0.030294,2.079149,-0.026411,0.120425,1.027913,1.03528,0
0.381876,0.038295,2.081294,-0.01012,0.124067,1.017434,1.025021,0
0.414684,0.032808,2.08294,-0.02419,0.102458,1.004031,1.009535,0
0.45078,0.036096,2.083257,-0.022462,0.09736,0.998426,1.003413,0
0.488576,0.037795,2.082137,-0.042456,0.118968,1.0033,1.01122,0
0.520315,0.031739,2.081813,-0.025177,0.102944,0.994283,0.999915,0
0.553236,0.032921,2.080669,-0.026165,0.109014,1.010367,1.016568,0
0.58969,0.036455,2.080049,-0.015551,0.118483,1.00793,1.014989,0
0.624338,0.034647,2.07922,-0.0195,0.112899,1.001107,1.007641,0
0.65112,0.026782,2.077464,-0.023696,0.104886,1.00525,1.010984,0
0.683072,0.031953,2.075189,-0.027646,0.100759,1.000132,1.005575,0
0.718444,0.035371,2.073612,-0.021968,0.105858,1.000376,1.006201,0
0.752923,0.034479,2.072842,-0.021722,0.106343,1.001594,1.007458,0
0.785567,0.032644,2.072093,-0.019994,0.1078,1.002569,1.008546,0
0.813722,0.028155,2.07086,-0.021968,0.108528,1.004518,1.010603,0
0.846662,0.03294,2.068536,-0.018266,0.104886,1.004275,1.009902,0
0.88755,0.040889,2.067878,-0.002962,0.110713,1.002081,1.008183,0
0.919635,0.032084,2.066338,-0.025424,0.101002,1.0033,1.008691,0
0.962099,0.042464,2.064276,-0.030608,0.105858,1.003056,1.009091,0
1.000523,0.038424,2.062916,-0.022709,0.110228,1.001594,1.007897,0
1.030333,0.02981,2.061713,-0.020487,0.1078,1.000619,1.006618,0
1.066314,0.03598,2.060835,-0.013329,0.107314,0.998913,1.00475,0
1.105762,0.039449,2.060672,-0.016785,0.113141,1.00135,1.007862,0
1.138875,0.033113,2.059721,-0.029127,0.104158,1.002813,1.008628,0
1.194051,0.055176,2.058678,-0.021722,0.11217,1.006224,1.01269,0
1.23197,0.03792,2.058502,-0.018266,0.114113,1.006468,1.013081,0
1.271955,0.039984,2.057406,-0.022956,0.117026,0.999157,1.006249,0
1.319978,0.048024,2.056388,-0.017278,0.112656,0.995745,1.002247,0
1.356961,0.036983,2.054968,-0.032582,0.115326,1.006955,1.014062,0
1.396327,0.039366,2.053787,-0.02962,0.111199,1.01646,1.022953,0
1.433527,0.037201,2.052506,-0.023943,0.119454,1.004762,1.012121,0
1.47604,0.042513,2.051702,-0.022462,0.117026,1.000619,1.00769,0
1.512784,0.036744,2.051286,-0.021228,0.11387,0.999401,1.006091,0
1.547925,0.03514,2.051671,-0.023449,0.115569,0.999401,1.006334,0
1.584619,0.036694,2.052029,-0.021228,0.113627,0.999401,1.006063,0
1.617377,0.032758,2.052418,-0.022709,0.112656,1.004031,1.010587,0
1.648105,0.030728,2.053047,-0.022462,0.108771,1.003787,1.009913,0
1.676828,0.028723,2.053484,-0.026905,0.111442,0.998913,1.005471,0
1.711674,0.034846,2.053814,-0.025671,0.112656,1.005737,1.012352,0
1.751131,0.039457,2.05366,-0.020981,0.110228,0.999644,1.005922,0
1.788486,0.037355,2.053934,-0.022709,0.112899,0.998182,1.004803,0
1.825641,0.037155,2.054316,-0.028633,0.108771,0.999157,1.005468,0
1.860456,0.034814,2.054207,-0.020734,0.114598,1.00135,1.0081,0
1.906436,0.045981,2.053864,-0.026165,0.11387,1.011098,1.017826,0
1.943941,0.037505,2.053422,-0.02888,0.114598,1.002325,1.009268,0
1.975823,0.031882,2.053313,-0.022462,0.11217,0.991602,0.998179,0
2.007932,0.032109,2.053465,-0.027152,0.108771,0.99672,1.003005,0
2.047917,0.039985,2.053453,-0.024437,0.109257,1.002813,1.009043,0
2.073745,0.025828,2.053393,-0.017525,0.11387,1.002569,1.009167,0
2.124739,0.050994,2.053122,-0.025671,0.108285,1.002813,1.008969,0
2.163893,0.039154,2.053128,-0.021722,0.109257,0.997207,1.00341,0
2.201787,0.037894,2.0528,-0.026905,0.114598,1.00135,1.008246,0
2.234471,0.032684,2.051836,-0.030608,0.110228,1.000132,1.006653,0
2.266026,0.031555,2.052116,-0.01407,0.118483,1.000619,1.007708,0
2.300108,0.034082,2.052671,-0.027892,0.109742,1.006955,1.013302,0
2.332783,0.032675,2.051832,-0.027892,0.111685,1.001107,1.007703,0
2.361674,0.028891,2.050801,-0.019006,0.116783,0.999157,1.006138,0
2.395308,0.033634,2.050345,-0.017525,0.121396,0.999644,1.007141,0
2.43327,0.037962,2.050137,-0.022215,0.117997,1.002081,1.009249,0
2.477118,0.043848,2.049353,-0.031101,0.109257,0.994283,1.000751,0
2.514753,0.037635,2.046081,-0.052823,0.093232,1.012317,1.017972,0
2.548083,0.03333,2.044063,-0.033816,0.099545,0.98551,0.991102,0
2.579378,0.031295,2.043547,-0.017032,0.123096,1.00988,1.017497,0
2.613992,0.034614,2.041281,-0.027399,0.114841,1.019384,1.026198,0
2.658049,0.044056,2.03899,-0.015304,0.123581,0.940913,0.949118,0
2.691743,0.033694,2.040284,-0.002222,0.113384,0.983317,0.989835,0
2.732135,0.040392,2.039939,-0.035297,0.101245,1.009392,1.015071,0
2.762477,0.030342,2.038918,-0.024437,0.096874,1.002569,1.007535,0
2.795925,0.033448,2.037142,-0.033816,0.115326,0.999157,1.006359,0
2.824019,0.028094,2.034237,-0.022709,0.112656,0.999644,1.006229,0
2.868396,0.044377,2.031018,-0.015797,0.064826,1.008174,1.010379,0
2.910234,0.041837,2.029132,-0.010861,0.105372,0.988191,0.993852,0
2.945314,0.03508,2.028722,-0.024684,0.129408,1.007199,1.015778,0
2.978152,0.032838,2.029127,-0.015551,0.11217,0.997451,1.003859,0
3.008945,0.030793,2.028451,-0.034557,0.113384,1.00135,1.008342,0
3.043913,0.034967,2.028341,-0.01407,0.120668,1.014023,1.021274,0
3.067994,0.024081,2.028613,-0.012835,0.119211,1.004518,1.011649,0
3.099042,0.031048,2.027053,-0.037519,0.1078,0.999401,1.005898,0
3.131397,0.032354,2.025726,-0.019747,0.105372,0.994527,1.000288,0
3.160444,0.029047,2.024855,-0.006665,0.120911,0.999644,1.006952,0
3.189238,0.028794,2.022289,-0.024437,0.114113,1.00793,1.014664,0
3.221214,0.031976,2.019532,-0.038013,0.113141,1.003056,1.010132,0
3.255247,0.034034,2.018445,-0.017278,0.114598,1.006712,1.013361,0
3.301549,0.046301,2.018152,-0.022462,0.116783,0.99672,1.00379,0
3.338942,0.037393,2.017868,-0.0195,0.118483,0.999157,1.006346,0
3.37135,0.032408,2.017562,-0.026905,0.114598,0.937989,0.945347,0
3.41245,0.041101,2.018457,-0.016291,0.1061,1.000376,1.006118,0
3.452691,0.040241,2.018737,-0.020241,0.1061,1.000132,1.005948,0
3.486818,0.034127,2.018519,-0.021722,0.112656,0.999157,1.005723,0
3.5199,0.033082,2.017953,-0.032582,0.115084,1.000376,1.0075,0
3.556456,0.036556,2.018008,-0.021968,0.109499,0.998426,1.004653,0
3.590607,0.034151,2.017593,-0.032335,0.117512,1.001838,1.009224,0
3.627486,0.03688,2.016964,-0.033076,0.111199,1.012317,1.018943,0
3.661174,0.033687,2.016599,-0.018266,0.109742,1.020359,1.026406,0
3.692523,0.031349,2.016968,-0.021475,0.123096,1.021821,1.029433,0
3.727477,0.034954,2.0173,-0.040234,0.107314,0.993065,0.999656,0
3.765905,0.038428,2.0237,-0.019006,0.109985,1.017191,1.023296,0
3.805369,0.039464,2.026383,-0.017772,0.168984,0.997695,1.01206,0
