step_idx,timestamp,dt,heading_change_rad,heading_rad,step_length_m,x_m,y_m,var_x,var_y,neff,map_probability,walkable
0,4.141415,0.048237,0.0,-2.0943951023931957,0.47,5.331110759353378,5.745565156736059,0.028826289724044434,0.02090676711738428,9.0,0.00025340518104355727,1.0
1,5.458425,0.040043,0.23946600000000018,-1.8325957145940461,0.47,5.034215475805161,5.40628903430886,0.04223642426718987,0.024537618279521306,23.0,0.0002307936952536448,1.0
2,6.147033,0.029188,0.03093500000000038,-1.8325957145940461,0.47,4.848236046607226,5.003596822156241,0.03214846867876511,0.030519193413475816,33.0,0.0002506233959094799,1.0
3,6.851171,0.02769,-0.08712199999999992,-1.8325957145940461,0.47,4.57395996138919,4.612712561153784,0.03601272914987741,0.037402868980484436,44.0,0.0002419330651577297,1.0
4,7.571564,0.02682,-0.002851000000000159,-1.8325957145940461,0.47,4.495863226995132,4.194624454505074,0.04708647297231858,0.0384821473325581,51.0,0.00025353272913502536,1.0
5,8.251419,0.02748,-0.009656999999999805,-1.8325957145940461,0.47,4.321538308149276,3.7885911585565157,0.04815991331987731,0.0417055571469222,55.0,0.00025343526661016384,1.0
6,8.947665,0.033581,0.13510699999999964,-1.6094950067883547,0.47,4.346210129330398,3.3597512400208505,0.046380131704870965,0.041241564290622014,106.0,0.0002534220929736396,1.0
7,9.653322,0.034392,-0.056788999999999756,-1.6091421190805408,0.47,4.344131703619084,2.9274414325984632,0.04821802319355362,0.04127253052860246,122.0,0.00025343526661016384,1.0
8,10.48697,0.026827,0.024585999999999775,-1.609009270008567,0.47,4.333230660475409,2.5038336993982084,0.06074295001442566,0.04050756526932471,132.0,0.0002535493487588101,1.0
9,11.227985,0.026759,0.003635000000000055,-1.608757803724879,0.47,4.325867183167257,2.09521614985138,0.06731332889205421,0.0437193088297906,142.0,0.000253521083764987,1.0
