step_idx,timestamp,dt,heading_change_rad,heading_rad,step_length_m,x_m,y_m,var_x,var_y,neff,map_probability,walkable
0,4.141415,0.048237,0.0,-1.9679778100433807,0.47,5.303367222134222,5.820843444707071,0.01632520082013479,0.022652599260434503,2492.9855001525016,0.0002534220929736396,1.0
1,5.458425,0.040043,0.23946600000000018,-1.7454007507880462,0.47,5.198579026157628,5.431948920877623,0.022643377611116018,0.017762067178342278,1828.469979373943,0.0002025664658614099,1.0
2,6.147033,0.029188,0.03093500000000038,-1.7720494520403172,0.47,4.972350056627151,4.972920474106352,0.016292166351935585,0.020834300517949423,3000.0000000000005,0.0001966036499916111,1.0
3,6.851171,0.02769,-0.08712199999999992,-1.8860142960942143,0.47,4.770704295694202,4.53835843367956,0.017835811102835143,0.023402869377655088,2337.153363868847,0.00018186441455794795,1.0
4,7.571564,0.02682,-0.002851000000000159,-1.9004607287468083,0.47,4.598541621555824,4.087504518156337,0.021468833478668948,0.02341665216341719,2089.4905701315242,0.0002528602361854575,1.0
5,8.251419,0.02748,-0.009656999999999805,-1.9094290785639878,0.47,4.445705166617816,3.6457267758483174,0.02743792806350275,0.02553721270699003,2059.680784500484,0.00025354969573988654,1.0
6,8.947665,0.033581,0.13510699999999964,-1.76859535017862,0.47,4.37338989790074,3.182191851933271,0.03132724750891257,0.026867632349047668,2027.0980592742983,0.0002535327302703676,1.0
7,9.653322,0.034392,-0.056788999999999756,-1.8156104856761108,0.47,4.280227586130643,2.7154114953499775,0.03749300482957207,0.02710112108489606,1963.575961839609,0.00025339510034947467,1.0
8,10.48697,0.026827,0.024585999999999775,-1.7903568071472553,0.47,4.180646084615649,2.261579413777621,0.05080555111013114,0.027859622762024933,1968.3128505785432,0.00025352316568729615,1.0
9,11.227985,0.026759,0.003635000000000055,-1.7578112361978697,0.47,4.188386784314123,1.808937431482571,0.0488573835906478,0.03534985784875939,3000.0000000000005,0.0002441686562876947,1.0
