step_idx,timestamp,dt,heading_change_rad,heading_rad,step_length_m,x_m,y_m,var_x,var_y,neff,map_probability,walkable
0,3.018521,0.033683,0.0,-2.0943951023931957,0.47,5.331110759353378,5.745565156736059,0.028826289724044434,0.02090676711738428,9.0,0.00025340518104355727,1.0
1,4.587528,0.041009,0.34245400000000004,-1.8325957145940461,0.47,5.214812602046626,5.417037902992536,0.05582583185075604,0.018683785042188802,21.0,0.00019888469077474857,1.0
2,5.990508,0.02658,-0.01120499999999991,-1.8325957145940461,0.47,4.862011470920981,5.04394010578142,0.0283421253550529,0.02969267999383715,33.0,0.00024378202373958544,1.0
3,6.575553,0.026749,0.07859900000000009,-1.8325957145940461,0.47,4.713522999264341,4.642817402737886,0.03345668486837857,0.033283823869081935,39.0,0.00020378514443894022,0.0
4,7.33946,0.026602,-0.1640290000000002,-2.0943951023931957,0.47,4.467772017968883,4.242318464594445,0.04013862051295458,0.03812932471843669,48.0,0.00025353207740405175,1.0
5,7.863547,0.026599,0.05705099999999996,-2.0943951023931957,0.47,4.285329678275629,3.837627582340124,0.04470904849730562,0.04170295456118974,54.0,0.0002530148315758694,1.0
6,8.516249,0.034456,-0.10210100000000022,-2.0943951023931957,0.47,4.218098122471555,3.397512127934374,0.035215945603448984,0.040559043201142966,60.0,0.0002506380494809036,1.0
7,9.151464,0.03482,0.12980199999999975,-2.0943951023931957,0.47,4.1579133266722526,2.929786203973063,0.03688131141804005,0.03642743148875763,62.0,0.00024480048422522246,1.0
8,9.870365,0.026584,-0.04594699999999996,-2.0943951023931957,0.47,3.981774355550204,2.5024527010731323,0.05467699289541197,0.030183586366442083,69.0,0.00025313620111175366,1.0
9,10.636081,0.033536,0.009257999999999988,-2.0943951023931957,0.47,3.8110171754869406,2.1571088621314956,0.08011611739015718,0.030531886587310517,73.0,0.0002441686562876947,1.0
