step_idx,timestamp,dt,heading_change_rad,heading_rad,step_length_m,x_m,y_m,var_x,var_y,neff,map_probability,walkable
0,3.018521,0.033683,0.0,-2.0348174521408464,0.47,5.275872896749501,5.833590465269243,0.01648093618026169,0.022813778673286864,2508.336810447456,0.00025353272913502536,1.0
1,4.587528,0.041009,0.34245400000000004,-1.7109741307600053,0.47,5.187888514913617,5.438033319200973,0.022569259559437532,0.01792503710890719,1890.5358554136128,0.0002025664658614099,1.0
2,5.990508,0.02658,-0.01120499999999991,-1.7750421265720027,0.47,4.967935506259403,4.981525825110036,0.01630516812616525,0.02091152171860628,3000.0000000000005,0.0001966036499916111,1.0
3,6.575553,0.026749,0.07859900000000009,-1.7379542667182868,0.47,4.812791685524296,4.539107777233426,0.0179397324509065,0.02345478528098357,1964.9427950194652,0.00014502268857240314,1.0
4,7.33946,0.026602,-0.1640290000000002,-1.9130280277375602,0.47,4.62747085479223,4.087211136110418,0.020737530349455767,0.02404034714967062,3000.0000000000005,0.0002506380494809036,1.0
5,7.863547,0.026599,0.05705099999999996,-1.8598837307675917,0.47,4.490884648564047,3.637674011153532,0.026896829565226613,0.025678556363932077,2972.795136985788,0.00025353272913502536,1.0
6,8.516249,0.034456,-0.10210100000000022,-1.9490433036596042,0.47,4.343876987302894,3.198879608449949,0.02856197670203379,0.028270656108992768,2823.0358536433573,0.00025342210151234324,1.0
7,9.151464,0.03482,0.12980199999999975,-1.8120648684100147,0.47,4.253729671545573,2.73057984921956,0.03438374543074246,0.02879078012746025,2651.132978294735,0.00025339510034947467,1.0
8,9.870365,0.026584,-0.04594699999999996,-1.8567055571056215,0.47,4.124109445923914,2.2842836504881996,0.0471006373691648,0.029826387434926722,2641.352381356145,0.00025347851633025976,1.0
9,10.636081,0.033536,0.009257999999999988,-1.8164234303696696,0.47,4.109594510756479,1.8488950630154297,0.05146284496271803,0.040945075172631316,1915.4488313771867,0.0002283806220029759,1.0
