step_idx,timestamp,dt,heading_change_rad,heading_rad,step_length_m,x_m,y_m,var_x,var_y,neff,map_probability,walkable
0,3.018521,0.033683,0.0,-1.5707963267948966,0.47,5.300312031282764,5.505379261394825,0.03441951914259195,0.015788954664305566,9.0,0.00024369706992791,1.0
1,4.587528,0.041009,0.34245400000000004,-1.3089969389957472,0.47,5.276101039699209,5.212718877682651,0.0570442084713859,0.03807485932910272,15.0,2.8785623354083767e-05,0.0
2,5.990508,0.02658,-0.01120499999999991,-1.3089969389957472,0.47,4.942486340665055,4.837624068774191,0.01906934573557019,0.02770449039114313,18.0,0.0002192956409009146,1.0
3,6.575553,0.026749,0.07859900000000009,-1.3089969389957472,0.47,4.862116920968195,4.425630215292322,0.008122293741614054,0.036226026685152055,17.0,0.0001004595419421646,0.0
4,7.33946,0.026602,-0.1640290000000002,-1.5707963267948966,0.47,4.705630585129965,3.981815707278272,0.01673275413826725,0.03183971797069211,23.0,0.00022737337032984853,1.0
5,7.863547,0.026599,0.05705099999999996,-1.5707963267948966,0.47,4.602461026088167,3.5492847725540226,0.030978499989536824,0.03494507651645011,33.0,0.0002506380494809036,1.0
6,8.516249,0.034456,-0.10210100000000022,-1.5707963267948966,0.47,4.528424158009843,3.1232876442270374,0.041838456255501026,0.038644408511954734,43.0,0.0002534220929736396,1.0
7,9.151464,0.03482,0.12980199999999975,-1.5707963267948966,0.47,4.472960488100625,2.6992908283313732,0.04939452414212676,0.04036870496898939,55.0,0.00025353272913502536,1.0
8,9.870365,0.026584,-0.04594699999999996,-1.5707963267948966,0.47,4.422959584250275,2.2817936746678695,0.05791851892060635,0.04273132558210689,63.0,0.00025354969573988654,1.0
9,10.636081,0.033536,0.009257999999999988,-1.5707963267948966,0.47,4.396839677674877,1.8720320763630265,0.06014783870609989,0.04777182244356922,72.0,0.00025353448075759647,1.0
