timestamp,dt,heading_rad,accel_x,accel_y,accel_z,accel_norm,gyro_x_rads,gyro_y_rads,gyro_z_rads,step_event
0.00044,0.00044,2.218683,0.063763,0.082792,0.994771,1.000244,-0.164133,1.047115,-0.039104,0
0.143872,0.143432,2.220382,0.071279,0.09736,0.967476,0.974972,-0.15894,1.044977,-0.032385,0
0.19251,0.048638,2.220909,0.069582,0.099545,0.971619,0.979181,-0.163827,1.048947,-0.029636,0
0.238776,0.046266,2.222368,0.070309,0.093475,0.969182,0.976215,-0.15894,1.053529,-0.029025,0
0.288785,0.050009,2.224289,0.075886,0.093475,0.986241,0.993563,-0.164438,1.052918,-0.026582,0
0.334043,0.045258,2.225904,0.077098,0.092261,0.988678,0.995962,-0.165965,1.044366,-0.024749,0
0.375436,0.041393,2.226647,0.072006,0.091533,0.978443,0.985349,-0.163217,1.039479,-0.023527,0
0.413359,0.037924,2.22695,0.066673,0.084735,0.976981,0.982912,-0.163217,1.041312,-0.027498,0
0.461694,0.048335,2.226489,0.061096,0.079636,0.977955,0.983093,-0.165355,1.049864,-0.031163,0
0.499746,0.038052,2.225801,0.059399,0.084492,0.981855,0.987272,-0.164744,1.04742,-0.031163,0
0.541113,0.041367,2.224968,0.059884,0.084249,0.967964,0.973467,-0.161689,1.044671,-0.031469,0
0.586134,0.045021,2.224263,0.072976,0.092747,0.984048,0.991099,-0.168103,1.055362,-0.026582,0
0.627519,0.041385,2.223377,0.069097,0.087163,0.962115,0.968523,-0.169936,1.0575,-0.024138,0
0.665656,0.038137,2.222466,0.044852,0.079393,0.972594,0.976859,-0.163217,1.041617,-0.029636,0
0.714319,0.048663,2.221767,0.052853,0.081093,0.977468,0.982249,-0.1623,1.045282,-0.028109,0
0.752196,0.037877,2.22117,0.052126,0.081093,0.984292,0.989001,-0.164133,1.055667,-0.032385,0
0.79364,0.041444,2.220461,0.056005,0.08959,0.993065,0.998669,-0.166576,1.052613,-0.03269,0
0.846722,0.053082,2.22026,0.057702,0.076722,0.982829,0.987507,-0.159857,1.031843,-0.031774,0
0.888731,0.042009,2.220265,0.060854,0.083763,0.976493,0.981967,-0.165049,1.04009,-0.02872,0
0.933905,0.045173,2.220279,0.044125,0.082064,0.966989,0.971468,-0.157108,1.042533,-0.027498,0
0.97551,0.041606,2.220051,0.039519,0.09299,0.988678,0.993828,-0.162911,1.044977,-0.031469,0
1.021474,0.045963,2.219009,0.047519,0.077451,0.96967,0.973918,-0.15894,1.044366,-0.031774,0
1.063268,0.041795,2.218096,0.051156,0.077208,0.984048,0.988397,-0.161995,1.041617,-0.028109,0
1.108549,0.04528,2.217913,0.047035,0.082064,0.982342,0.986885,-0.162911,1.041922,-0.027192,0
1.150163,0.041615,2.217111,0.047762,0.081821,0.982829,0.987385,-0.159551,1.043755,-0.029941,0
1.196223,0.04606,2.217096,0.049701,0.08959,0.987703,0.993003,-0.161689,1.035508,-0.028109,0
1.244886,0.048663,2.216774,0.049701,0.082064,0.973325,0.978042,-0.160773,1.039174,-0.02872,0
1.285953,0.041067,2.217575,0.050186,0.080607,0.976981,0.981584,-0.161995,1.036425,-0.027498,0
1.324104,0.03815,2.218026,0.04558,0.083035,0.981855,0.986413,-0.162606,1.040701,-0.025971,0
