step_idx,timestamp,dt,heading_change_rad,heading_rad,step_length_m,x_m,y_m,var_x,var_y,neff,map_probability,walkable
0,4.768388,0.041911,-0.30307089704945467,-2.0943951023931957,0.65,5.054936745857525,6.145445998720978,0.03397894194172776,0.025892737606689864,9.0,0.00025354969573988654,1.0
1,5.449522,0.038638,0.11432906313181812,-2.0943951023931957,0.65,4.783878792358539,5.643938540911152,0.06452160868033284,0.03898001785573509,25.0,0.0002535478209418285,1.0
2,6.084299,0.037937,0.08701632309963614,-2.0943951023931957,0.65,4.501915297329654,5.154351690419793,0.071592280328711,0.051235323411410225,48.0,0.00025354969573988654,1.0
3,6.90987,0.045183,0.12340336903936366,-2.0943951023931957,0.65,4.244361381871391,4.663648661039277,0.08224803094434005,0.05650301080754716,70.0,0.00025354290464122103,1.0
4,7.47548,0.041876,-0.043164047432000086,-2.0943951023931957,0.65,4.1352233140507835,4.154833491802365,0.08191388214616593,0.07301589648626107,80.0,0.0002527909315738888,1.0
5,8.247761,0.041492,-0.0037300258895456295,-2.0943951023931957,0.65,4.202947151417674,3.5923485954375933,0.04609152929226868,0.06277539603328905,84.0,0.00025063950627275737,1.0
6,9.503132,0.044326,0.03980525479190922,-2.0943951023931957,0.65,4.164586565359591,3.0077564922296776,0.04228834160204078,0.04756675199994566,88.0,0.0002439052712175676,1.0
7,13.175355,0.054713,-3.069286601030909,1.3089969379203452,0.65,4.429637137500175,3.5229709523487616,0.043077866729289885,0.03435348928457464,79.0,0.00025354969573988654,1.0
8,13.824882,0.043664,-0.05484415353700012,1.3089969388452714,0.65,4.565380132931198,4.0809702334515805,0.04816726056286723,0.03393160227732511,81.0,0.0002528602361854575,1.0
9,15.950271,0.043349,0.11516321347236369,1.3089969389178993,0.65,4.533474535249942,4.746120815599219,0.056666895522811817,0.025846670842703225,85.0,0.0002503695142007209,1.0
10,18.228857,0.043738,-0.08787905588827272,1.308996938966299,0.65,4.710105870361945,5.289569724350115,0.06737255138854581,0.03232504272831724,87.0,0.00025345070494853917,1.0
