group,model,n_steps,walkable_ratio,path_length_m,runtime_s,runtime_ms_per_step,mean_neff,final_x_m,final_y_m
180Turn,discrete_bayes,13.5,0.96875,7.441066765152637,0.04146549990400665,3.0908693105712617,64.67329545454545,4.563858142158279,5.839777955804822
180Turn,particle,13.5,0.96875,8.007836601961374,0.1200063999276608,9.097926982741972,2672.580889970345,4.480013201094217,5.753303753402555
outputs,discrete_bayes,6.75,0.7421875,3.527918515617043,0.022296262410236446,2.3746237445514207,46.50686553030303,3.87227467536531,4.37758302939412
outputs,particle,6.75,0.7109375,3.8515265057981,0.060839912533992846,6.8244093562305235,2001.379481017257,3.8666547764376245,4.085687122488938
shortTurn,discrete_bayes,5.0,1.0,2.422563004281675,0.0148247499018907,2.9169999761506915,42.33333333333333,3.205298723047184,5.106537195613029
shortTurn,particle,5.0,0.875,2.5002753908765554,0.043538050027564154,8.98024584360731,2628.6512240989227,2.9722038483681423,5.178725203911755
still,discrete_bayes,0.0,0.0,0.0,0.00342944986186915,0.0,0.0,,
still,particle,0.0,0.0,0.0,0.00190985004883255,0.0,0.0,,
walk,discrete_bayes,8.5,1.0,4.2480442930338596,0.02946534997317935,3.4906256914837286,79.02083333333333,3.8476671608904685,2.1864339367645096
walk,particle,8.5,1.0,4.8979940303544725,0.07790535013191395,9.219464598572813,2704.2858099997593,4.147747279850513,1.3250324101525055
