timestamp,dt,heading_rad,accel_x,accel_y,accel_z,accel_norm,gyro_x_rads,gyro_y_rads,gyro_z_rads,step_event
0.000411,0.000411,2.242833,0.005091,0.09566,0.981611,0.986274,-0.056926,0.386159,0.011903,0
0.146891,0.14648,2.244111,0.001212,0.088376,0.989165,0.993106,-0.054788,0.38005,-0.007339,0
0.200573,0.053683,2.244871,0.003879,0.089833,0.999157,1.003195,-0.069143,0.368443,-0.00459,0
0.251267,0.050694,2.245575,0.005334,0.087648,1.059106,1.06274,-0.063035,0.356532,-0.003369,0
0.295064,0.043796,2.246714,0.003637,0.093232,0.998426,1.002776,-0.060591,0.334846,-0.007645,0
0.338015,0.042951,2.247737,0.00194,0.092504,0.985023,0.989359,-0.055704,0.348896,-0.007034,0
0.391671,0.053656,2.248686,-0.001234,0.093232,0.984779,0.989183,-0.05601,0.363251,-0.017724,0
0.446255,0.054584,2.249762,-0.001234,0.098088,0.988434,0.99329,-0.058148,0.372109,-0.013753,0
0.497199,0.050943,2.251083,-0.001728,0.09566,0.991359,0.995965,-0.040127,0.351034,-0.013448,0
0.549542,0.052343,2.25243,0.002667,0.100031,0.998426,1.003428,-0.065784,0.347979,-0.004896,0
0.599776,0.050234,2.25364,0.000485,0.091776,0.987947,0.992201,-0.05265,0.346147,-0.007034,0
0.641279,0.041503,2.253906,0.004122,0.094932,0.998913,1.003423,-0.069754,0.342482,-0.003674,0
0.686463,0.045184,2.254182,0.000242,0.093718,0.990871,0.995294,-0.064256,0.3379,-9e-06,0
0.728442,0.041979,2.254279,-0.000494,0.098574,0.986972,0.991883,-0.061813,0.345536,0.001213,0
0.772559,0.044117,2.254784,-0.001234,0.099545,0.988434,0.993435,-0.062729,0.342787,0.003656,0
0.815374,0.042815,2.255919,-0.000494,0.092504,0.993796,0.998092,-0.038295,0.350423,-0.00398,0
0.86061,0.045236,2.257182,-0.000987,0.098817,0.999888,1.00476,-0.057537,0.330875,0.004573,0
0.911535,0.050925,2.258722,-0.000987,0.095417,0.986485,0.991089,-0.068227,0.33393,-0.000314,0
0.96362,0.052085,2.259706,0.000727,0.087405,0.980636,0.984524,-0.033408,0.373636,0.053442,0
1.01339,0.04977,2.261963,-0.000247,0.09299,0.995989,1.000321,-0.057231,0.348285,-0.004285,0
1.062249,0.048859,2.263658,-0.003456,0.092747,0.991115,0.995451,-0.052039,0.344009,-0.014059,0
1.113126,0.050877,2.264565,-0.002222,0.094689,0.995258,0.999755,-0.048068,0.332402,-0.019557,0
1.162322,0.049196,2.265165,0.000242,0.097117,0.999401,1.004108,-0.048679,0.322934,-0.019557,0
1.200302,0.03798,2.264777,0.000242,0.097603,0.997451,1.002215,-0.057842,0.310411,-0.018946,0
1.248837,0.048535,2.263626,0.003394,0.09736,0.983561,0.988373,-0.048985,0.318963,-0.00398,0
1.293989,0.045152,2.26346,-0.002222,0.100031,0.986972,0.992031,-0.056621,0.325072,-0.001231,0
1.33952,0.04553,2.263855,0.000727,0.092504,0.99209,0.996393,-0.060897,0.334235,-0.011615,0
