timestamp,dt,heading_rad,accel_x,accel_y,accel_z,accel_norm,gyro_x_rads,gyro_y_rads,gyro_z_rads,step_event
0.000363,0.000363,2.080623,-0.009873,0.137421,0.988922,0.998473,-0.011033,-0.038006,-0.025726,0
0.150099,0.149736,2.079239,-0.014316,0.142519,0.985023,0.995383,-0.014909,-0.070144,-0.0131,0
0.191941,0.041842,2.078007,-0.001975,0.127709,0.959922,0.968382,-0.007115,-0.016249,0.005517,0
0.234429,0.042488,2.078064,-0.005677,0.129894,0.955292,0.964099,0.019713,0.021852,-0.003171,0
0.2727,0.038271,2.078485,-0.024684,0.111199,1.0323,1.038565,-0.007945,-0.016353,-0.020535,0
0.32133,0.04863,2.077334,-0.01407,0.11654,0.968695,0.975781,-0.006936,0.000167,-0.016315,0
0.359512,0.038182,2.076998,-0.011601,0.126252,0.966502,0.974782,-0.074962,0.0533,0.026783,0
0.401318,0.041806,2.07815,-0.008886,0.13038,0.969426,0.978195,0.011328,-0.011826,0.033305,0
0.446657,0.045339,2.077811,-0.020487,0.126738,0.970645,0.979098,-0.046347,-0.027381,0.021159,0
0.495484,0.048826,2.076467,-0.010367,0.124795,0.959678,0.967814,-0.045414,0.004179,0.003488,0
0.533798,0.038315,2.073699,-0.01407,0.123581,0.965527,0.973505,0.010832,-0.022492,0.006685,0
0.582815,0.049017,2.070949,-0.008886,0.06871,0.953829,0.956342,0.002842,0.004312,0.006873,0
0.628277,0.045462,2.069259,-0.010614,0.11824,0.967476,0.974733,-0.003872,-0.000381,-0.010883,0
0.670149,0.041872,2.06681,-0.013082,0.063369,0.959435,0.961614,0.019016,-0.013288,-0.022412,0
0.715752,0.045603,2.064048,-0.007158,0.130622,0.950661,0.95962,0.000255,0.009788,-0.00409,0
0.757792,0.042041,2.061796,-0.021228,0.127952,0.968695,0.977339,-0.008413,0.006291,0.018135,0
0.802841,0.045048,2.059534,-0.015797,0.122853,0.967964,0.975857,-0.025327,-0.014515,0.013963,0
0.844216,0.041375,2.056954,-0.012095,0.122367,0.964065,0.971875,0.010361,-0.04112,-0.008595,0
0.889276,0.04506,2.054364,-0.012835,0.125767,0.950661,0.95903,-0.000843,0.012584,-0.010441,0
0.930597,0.041321,2.052662,-0.012342,0.13305,0.962115,0.97135,-0.016091,0.002758,0.010857,0
0.968441,0.037844,2.051254,-0.006665,0.123581,0.961872,0.969801,-0.003021,-0.006012,0.015834,0
1.009765,0.041324,2.050193,-0.014563,0.120911,0.961628,0.969309,0.019888,0.00365,0.007748,0
1.054634,0.044869,2.050026,-0.012342,0.12868,0.960409,0.96907,-0.002109,0.004261,0.017047,0
1.096261,0.041627,2.049615,-0.010614,0.06264,0.970401,0.972478,-0.007479,-0.023438,0.017061,0
1.134167,0.037906,2.048526,-0.000741,0.125281,0.951636,0.959848,0.003003,0.012831,0.020189,0
