timestamp,dt,heading_rad,accel_x,accel_y,accel_z,accel_norm,gyro_x_rads,gyro_y_rads,gyro_z_rads,step_event
0.01378,0.01378,1.895624,0.035155,0.105372,0.972838,0.979159,-0.01633,0.013003,0.0084,0
0.168722,0.154942,1.895654,0.05746,0.116055,0.990384,0.998815,-0.026596,-0.023325,0.021456,0
0.211162,0.04244,1.893627,0.049944,0.11387,0.970888,0.978818,-0.031979,0.00193,0.023316,0
0.252953,0.041791,1.890949,0.057945,0.112413,0.970401,0.978607,-0.012997,0.032352,0.030173,0
0.291261,0.038308,1.887936,0.056005,0.110228,0.974544,0.982355,-0.013675,0.049155,0.01776,0
0.339854,0.048593,1.88559,0.047035,0.101487,0.973813,0.980216,-0.002569,0.047499,0.002809,0
0.378074,0.03822,1.882574,0.059884,0.109257,0.982586,0.990453,-0.01149,0.040826,-0.00806,0
0.427972,0.049898,1.881612,0.04558,0.109985,0.980149,0.987353,-0.079308,0.048938,0.062899,0
0.470761,0.04279,1.88227,0.050671,0.103187,0.98088,0.987593,-0.027181,0.016745,0.052369,0
0.514779,0.044017,1.881179,0.04558,0.111199,0.979905,0.987247,-0.04517,0.038361,0.006735,0
0.559675,0.044896,1.877883,0.044125,0.115812,0.965771,0.97369,0.002589,0.028431,-0.080809,0
0.605552,0.045877,1.872088,0.051641,0.111927,0.991359,0.998993,0.012612,-0.0211,-0.064945,0
0.657014,0.051461,1.869115,0.053823,0.109985,0.99014,0.997683,-0.01376,-0.054301,-0.030875,0
0.700484,0.04347,1.866389,0.049459,0.109985,0.986241,0.993587,-0.019101,-0.06821,0.006364,0
0.743891,0.043407,1.864907,0.053581,0.101245,0.966989,0.97375,-0.031955,-0.024677,0.005142,0
0.787337,0.043446,1.863535,0.055035,0.097117,0.973813,0.98019,0.00029,-0.009717,-0.00858,0
0.831542,0.044205,1.861975,0.049217,0.103672,0.988434,0.995074,0.001198,-0.004995,-0.01433,0
0.876088,0.044545,1.859976,0.050671,0.101973,0.977955,0.984562,0.006216,0.000292,-0.015702,0
0.915924,0.039837,1.857964,0.052853,0.105372,0.984292,0.991326,0.006949,-0.027855,-0.017297,0
0.959332,0.043408,1.85584,0.055278,0.102458,0.968208,0.975182,0.004933,0.012663,-0.013931,0
1.01054,0.051208,1.855197,0.054793,0.106829,0.983804,0.991103,0.00686,0.004943,0.009946,0
1.054679,0.044139,1.855222,0.058429,0.104644,0.981367,0.988659,0.000544,-0.000152,0.018576,0
1.098567,0.043888,1.855567,0.045095,0.10173,0.971376,0.977729,-0.011599,0.028516,0.01684,0
1.15327,0.054703,1.856103,0.05746,0.10343,0.992577,0.999604,-0.000143,0.005191,0.009262,0
1.197153,0.043883,1.855532,0.045822,0.098817,0.982098,0.98812,-0.008968,0.007571,-0.011207,0
1.247931,0.050778,1.855029,0.059884,0.100759,0.982829,0.989794,0.005118,-0.024154,-0.001357,0
1.298031,0.0501,1.85493,0.053823,0.102944,0.978443,0.985315,0.012265,-0.015429,-0.004292,0
1.341631,0.0436,1.854348,0.055278,0.100273,0.976493,0.983183,0.006913,0.023627,0.004619,0
1.385132,0.043501,1.854316,0.05746,0.102216,0.986241,0.993187,-0.002958,0.001291,0.008088,0
1.428936,0.043803,1.853236,0.051883,0.103915,0.984048,0.990879,0.004135,-0.035312,0.006306,0
1.483115,0.05418,1.853206,0.053096,0.101487,0.9743,0.981009,-0.004903,0.001221,0.010262,0
1.527097,0.043982,1.854031,0.05746,0.098088,0.969913,0.976553,-0.0037,0.022605,0.010008,0
1.578686,0.051588,1.854501,0.05746,0.092747,0.988434,0.994438,0.00408,0.000544,-0.000787,0
