step_idx,timestamp,dt,heading_change_rad,heading_rad,step_length_m,x_m,y_m,var_x,var_y,neff,map_probability,walkable
0,2.335307,0.04031,-0.06159029881439393,-1.8325957145940461,0.65,5.054936745857525,6.145445998720978,0.03397894194172776,0.025892737606689864,9.0,0.00025354969573988654,1.0
1,3.361427,0.052238,-0.12304177391987858,-1.8325957145940461,0.65,4.783878792358539,5.643938540911152,0.06452160868033284,0.03898001785573509,25.0,0.0002535478209418285,1.0
2,5.520108,0.038005,0.17486972260466693,-1.5707963267948966,0.65,4.6573240134109675,5.020137058237621,0.056552727926321655,0.0318048682907258,44.0,0.00025352256330287565,1.0
3,6.206677,0.045124,0.001391822820393962,-1.5707963267948966,0.65,4.5288358310417625,4.385214761665048,0.05230254402265513,0.032439413061133446,50.0,0.0002531941410212041,1.0
4,6.903281,0.045938,-0.051441902105211934,-1.5707963267948966,0.65,4.466643712904335,3.739440701145661,0.05294676034348849,0.02978919284969448,54.0,0.00025353272913502536,1.0
5,7.725972,0.048515,0.049796906441151645,-1.5707963267948966,0.65,4.443512674810097,3.082876978897859,0.049603545234501174,0.026871544857657546,58.0,0.00025354969573988654,1.0
6,8.363697,0.045088,0.03515204655899984,-1.5707963267948966,0.65,4.401397267371732,2.4316622228747584,0.059618832325845444,0.02555472777943441,67.0,0.00025354969573988654,1.0
7,9.905298,0.043159,-0.39059000481721196,-1.8325957145940461,0.65,4.195568210446525,1.929999637923269,0.07444339993142156,0.042344798784834575,76.0,0.0002459808942153014,1.0
8,11.688066,0.044184,-2.6231010369093632,1.8325957145940457,0.65,3.9857483768438153,2.4391142304972613,0.0870454777383433,0.03021983133463657,72.0,0.00025353952023369087,1.0
9,12.467995,0.05091,-0.06348752862421225,1.8325957145940457,0.65,4.023629228551526,3.0115173522718175,0.11910985429033774,0.04556474599530085,70.0,0.0001532286393303911,1.0
10,13.080389,0.053975,-0.10965039969496981,1.8325957145940457,0.65,4.248648296053515,3.677501680113181,0.036851284974114384,0.030675750493108108,73.0,0.0002506712906297888,1.0
11,13.881781,0.043503,0.11799414269696973,1.8325957145940457,0.65,4.114620069161248,4.235034157354128,0.04353229362047563,0.02989299787226785,78.0,0.00025284740953000973,1.0
12,14.470824,0.051188,0.01201648355406082,1.8325957145940457,0.65,3.936184137905585,4.8832918185902985,0.06354842078325382,0.024599692103843107,73.0,0.0002528866507691122,1.0
13,15.160826,0.043628,0.06337349418754545,1.8325957145940457,0.65,3.7866241960883085,5.2839959652042685,0.14470439452864986,0.048188905468416615,79.0,0.00010733779485642254,0.0
14,15.917574,0.04411,-0.07040099482993956,1.8325957145940457,0.65,4.1285344445030026,5.89687845696376,0.03894096440524776,0.0497468769572999,87.0,0.00024379323255209508,1.0
15,17.428369,0.043935,-0.725076232588485,1.0471975511965974,0.65,4.417610413954613,6.389986187259527,0.053095766694882925,0.058601492665137755,84.0,0.00025354969573988654,1.0
