group,run_name,model,n_steps,walkable_ratio,path_length_m,runtime_s,runtime_ms_per_step,mean_neff,final_x_m,final_y_m,summary_file
180Turn,log_turn180_1,discrete_bayes,16.0,0.9375,9.12909736785568,0.0477819999214261,2.986374995089136,62.4375,4.417610413954613,6.389986187259527,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\180Turn\log_turn180_1_summary.csv
180Turn,log_turn180_2,discrete_bayes,11.0,1.0,5.753036162449595,0.0351489998865872,3.1953636260533878,66.9090909090909,4.710105870361945,5.289569724350115,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\180Turn\log_turn180_2_summary.csv
outputs,final_results,discrete_bayes,4.0,1.0,1.8663388311890243,0.0107089998200535,2.6772499550133944,29.5,3.4883878955538394,5.203996910221239,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\outputs\final_results_summary.csv
outputs,final_results_grouped,discrete_bayes,5.0,1.0,2.422563004281675,0.0148247499018907,2.9169999761506915,42.33333333333333,3.205298723047184,5.106537195613029,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\outputs\final_results_grouped_summary.csv
shortTurn,log_short_turn1,discrete_bayes,6.0,1.0,2.978787177374325,0.0189404999837279,3.1567499972879887,55.16666666666666,2.9222095505405288,5.009077481004819,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\shortTurn\log_short_turn1_summary.csv
shortTurn,log_short_turn2,discrete_bayes,4.0,1.0,1.8663388311890243,0.0107089998200535,2.6772499550133944,29.5,3.4883878955538394,5.203996910221239,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\shortTurn\log_short_turn2_summary.csv
still,log_still,particle,0.0,0.0,0.0,0.003002299927175,0.0,0.0,,,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\still\log_still_summary.csv
still,log_still2,particle,0.0,0.0,0.0,0.0008174001704901,0.0,0.0,,,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\still\log_still2_summary.csv
walk,log_walk1,discrete_bayes,8.0,1.0,4.108926885647533,0.0312045000027865,3.900562500348314,94.375,3.9730927224389454,2.2888267554921136,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\walk\log_walk1_summary.csv
walk,log_walk2,discrete_bayes,9.0,1.0,4.387161700420186,0.0277261999435722,3.0806888826191425,63.66666666666666,3.722241599341992,2.0840411180369056,C:\Users\Cedric busman\PycharmProjects\DFA\DFA Resit V2\DF Resit V2\data\experiments\walk\log_walk2_summary.csv
