timestamp,dt,heading_rad,accel_x,accel_y,accel_z,accel_norm,gyro_x_rads,gyro_y_rads,gyro_z_rads,step_event
0.000363,0.000363,2.022399,-0.007899,0.109014,0.982098,0.988162,0.013629,0.058735,-0.006728,0
0.14395,0.143588,2.020358,-0.052329,0.09129,1.016703,1.022134,-0.008862,-0.047767,-0.089402,0
0.187488,0.043537,2.017352,-0.004196,0.070167,0.98551,0.988014,-0.004399,-0.016223,-0.017823,0
0.229981,0.042493,2.017545,-0.000494,0.11387,0.997207,1.003688,-0.044112,-0.02193,0.01356,0
0.274024,0.044043,2.018309,-0.00938,0.1061,0.982829,0.988584,-0.007175,-0.004403,0.04589,0
0.327805,0.053781,2.020899,-0.006665,0.102458,0.981855,0.987209,0.023267,0.021171,0.047433,0
0.385676,0.057872,2.021758,-0.016044,0.086434,0.985754,0.989666,0.033872,0.034369,0.023106,0
0.439236,0.05356,2.023013,-0.013576,0.107072,1.006955,1.012723,-0.029313,-0.043699,0.007515,0
0.47606,0.036824,2.022434,-0.002715,0.105615,0.978199,0.983888,0.015963,-0.028275,-0.025987,0
0.524699,0.048639,2.021567,-0.008146,0.094446,0.976981,0.981569,-0.0018,0.008053,0.003167,0
0.562846,0.038147,2.021361,-0.014563,0.106829,0.936771,0.942955,0.003246,-0.045012,-0.031094,0
0.612336,0.04949,2.021351,0.007031,0.105858,0.979905,0.985631,0.001523,-0.046661,0.018234,0
0.657933,0.045596,2.021841,-0.034557,0.100273,1.003544,1.009133,-0.034682,-0.111842,-0.014509,0
0.699565,0.041633,2.02076,0.002424,0.105372,0.970157,0.975866,0.011068,-0.074304,-0.053533,0
0.744637,0.045071,2.01886,0.011395,0.102701,0.977468,0.982915,0.005025,0.009312,-0.03443,0
0.786219,0.041583,2.017262,-0.006911,0.185494,1.107602,1.123049,0.07894,-0.181889,-0.100709,0
0.83129,0.04507,2.01318,0.032245,0.109014,0.973082,0.9797,-0.043942,-0.034219,-0.013337,0
0.872936,0.041647,2.01292,0.011395,0.120911,0.986729,0.994174,-0.119268,-0.067746,0.017724,0
0.911074,0.038138,2.013108,0.045337,0.100273,0.97235,0.978558,-0.0391,0.001888,0.02263,0
0.960412,0.049338,2.013312,0.013092,0.093718,0.9743,0.978885,0.072831,0.030997,-0.019802,0
1.005545,0.045133,2.011655,0.003394,0.108043,0.999157,1.004987,-0.006382,-0.013566,-0.030902,0
1.048001,0.042456,2.010439,0.015274,0.104886,0.977955,0.983683,0.043984,0.008653,-0.006198,0
1.099418,0.051417,2.010556,0.027154,0.109985,0.970157,0.976749,-0.012867,0.063363,-0.0043,0
1.144896,0.045478,2.0094,0.014547,0.108528,0.985023,0.99109,0.066104,0.060827,-0.040504,0
1.18651,0.041614,2.008166,0.003394,0.109257,0.989897,0.995914,0.022933,0.030396,-0.031089,0
1.231397,0.044888,2.007547,0.025699,0.109014,0.993065,0.999361,-0.03031,0.067878,0.045698,0
1.276206,0.044808,2.010777,0.024487,0.11824,0.985754,0.993122,-0.017282,0.03933,0.06432,0
1.325123,0.048917,2.013433,-0.001481,0.106829,0.986485,0.992253,-0.02261,0.003554,0.024832,0
1.363064,0.037942,2.01425,0.011395,0.102944,0.973082,0.978578,0.000708,0.021153,0.107348,0
