timestamp,dt,heading_rad,accel_x,accel_y,accel_z,accel_norm,gyro_x_rads,gyro_y_rads,gyro_z_rads,step_event
0.00098,0.00098,1.962522,0.010668,0.090562,0.999157,1.00331,-0.022556,0.004896,-0.018864,0
0.150684,0.149704,1.96197,0.029094,0.089833,0.999157,1.003609,-0.008925,-0.0138,-0.001308,0
0.192443,0.041759,1.960956,0.02279,0.091047,0.999157,1.003556,-0.005867,-0.035807,-0.006647,0
0.238479,0.046036,1.960334,0.032003,0.098331,0.940913,0.946579,0.021267,-0.02815,-0.026772,0
0.281529,0.04305,1.95909,0.015032,0.083035,0.989897,0.993487,0.025684,0.01937,-0.034627,0
0.323459,0.04193,1.957805,0.02279,0.08522,0.991602,0.995519,0.013046,0.037297,-0.025348,0
0.368593,0.045135,1.956951,0.025942,0.094204,1.002813,1.007562,-0.00708,-0.002404,-0.015008,0
0.410121,0.041528,1.956431,0.027154,0.095417,0.984292,0.989278,-0.017042,-0.016057,0.019108,0
0.455144,0.045023,1.955996,0.032488,0.08692,0.97625,0.98065,-0.040668,0.052003,0.026167,0
0.496655,0.041511,1.955579,0.020365,0.085463,0.997451,1.001313,-0.044846,0.050425,0.027701,0
0.534643,0.037988,1.955758,0.015032,0.084006,1.002325,1.005952,-0.010787,-0.026484,0.035832,0
0.584981,0.050338,1.955707,0.024002,0.088619,0.983804,0.988079,0.00435,0.022982,0.028164,0
0.630411,0.045429,1.955818,0.026911,0.092747,0.999157,1.003813,-0.035316,0.002295,-0.04553,0
0.681369,0.050958,1.953799,0.016244,0.080364,1.001594,1.004944,0.006192,-0.067127,0.025231,0
0.722951,0.041582,1.95366,0.024002,0.084977,0.989897,0.993827,0.006045,-0.045072,0.023029,0
0.7688,0.045849,1.953838,0.035882,0.087405,0.991846,0.996336,0.001607,-0.028575,0.025661,0
0.810527,0.041726,1.953113,0.021578,0.088862,0.999401,1.003576,-0.035351,-0.07103,0.003365,0
0.855648,0.045121,1.951259,0.028609,0.084006,0.997207,1.001148,-0.014399,-0.041348,0.017571,0
0.897152,0.041505,1.950003,0.030548,0.085706,1.000132,1.004262,-0.092189,-0.016897,0.019578,0
0.935157,0.038005,1.949873,0.033942,0.078908,0.999401,1.003085,0.017167,-0.026408,0.018768,0
0.983687,0.04853,1.949208,0.037822,0.079636,0.985266,0.989203,0.006161,0.002896,0.017157,0
1.021696,0.038009,1.947644,0.033942,0.082549,1.057401,1.061161,-0.085163,0.012365,0.00219,0
1.063226,0.04153,1.945374,0.032245,0.067739,0.993552,0.996381,0.009184,0.002419,-0.001491,0
1.108556,0.04533,1.942511,0.029094,0.070895,0.93604,0.939171,0.021041,0.001177,-0.004169,0
1.150257,0.041701,1.940049,0.032245,0.088376,0.997939,1.002363,-0.03257,0.010504,0.005737,0
1.195349,0.045091,1.938367,0.03273,0.08085,0.990384,0.994218,0.023365,0.041072,0.018597,0
1.237035,0.041687,1.937217,0.025214,0.084492,0.999157,1.00304,-0.019396,0.025801,0.042726,0
1.280997,0.043962,1.937132,0.032003,0.082549,0.985997,0.989964,-0.001221,0.061391,0.049135,0
1.326651,0.045654,1.93658,0.029336,0.079393,1.043023,1.046451,0.012843,0.00797,0.004967,0
1.375256,0.048605,1.933132,0.009213,0.067011,0.998426,1.000715,-0.000641,-0.01917,-0.03662,0
1.413377,0.038121,1.929118,0.031033,0.075994,0.989897,0.993294,-0.025667,0.01863,-0.004825,0
1.461829,0.048452,1.926564,0.037579,0.082064,1.002569,1.006624,-0.021839,-0.003613,0.018736,0
1.499876,0.038047,1.924754,0.03564,0.090319,0.936771,0.941789,-0.012162,-0.041991,0.00701,0
1.54144,0.041563,1.922698,0.022547,0.077694,0.985754,0.989068,0.025389,-0.013269,0.00912,0
1.58648,0.04504,1.920772,0.022547,0.077208,0.985754,0.98903,-0.009057,0.024986,-0.009894,0
1.628274,0.041795,1.918588,0.034912,0.07648,0.993552,0.997103,-0.026252,0.02908,0.008724,0
1.673484,0.045209,1.916373,0.026911,0.075508,1.000132,1.003339,0.023386,-0.016584,-0.017742,0
1.71531,0.041826,1.912682,0.032488,0.075508,0.991602,0.995004,0.012372,0.011444,-0.024984,0
1.760764,0.045455,1.908923,0.0337,0.083035,0.993552,0.997585,0.015804,-0.00043,-0.014075,0
1.803061,0.042296,1.906832,0.031033,0.081821,0.988678,0.992543,0.065236,0.010623,-0.020106,0
1.848224,0.045164,1.90492,0.026184,0.082792,1.046191,1.049788,-0.050133,0.029755,-0.003361,0
1.891109,0.042885,1.902571,0.045095,0.09299,1.000132,1.005457,0.011582,-0.071497,-0.031427,0
1.932761,0.041652,1.898201,0.039519,0.08522,0.968939,0.973482,0.066793,0.043808,-0.01475,0
1.97792,0.045158,1.894441,0.02376,0.114598,1.011586,1.018333,-0.018749,-0.078914,-0.0217,0
2.019565,0.041645,1.889228,0.019638,0.093961,0.97893,0.983625,0.004368,-0.009776,-0.035789,0
2.064666,0.045101,1.880857,0.045822,0.105372,0.976981,0.983714,-0.012705,0.065815,-0.0818,0
2.106718,0.042052,1.869037,-0.016538,0.168012,0.947737,0.962656,0.051472,-0.068323,-0.070215,0
2.152182,0.045465,1.858635,0.069582,0.125767,0.967233,0.977854,-0.053516,0.01823,-0.010585,0
2.193861,0.041679,1.849157,0.056005,0.10173,0.989653,0.996443,-0.04343,0.019663,-0.074992,0
2.23958,0.045719,1.834199,0.042913,0.109985,0.999401,1.00635,-0.070716,0.017358,-0.131594,0
2.294997,0.055417,1.822367,0.010668,0.093475,0.977712,0.982228,-0.540622,-0.095128,1.400438,0
2.335307,0.04031,1.854855,-0.265595,0.368802,1.153174,1.239502,-0.060482,0.012079,0.328064,1
2.385218,0.049912,1.859377,-0.070101,0.042003,1.034737,1.037959,-0.594907,0.25941,-0.218202,0
2.428618,0.043399,1.858984,0.032245,0.053172,0.942376,0.944425,-0.008476,-0.210651,-0.064875,0
2.471756,0.043138,1.863778,0.127527,0.130622,0.952855,0.970184,0.019294,0.016012,0.139819,0
2.517454,0.045699,1.873239,0.06643,0.160486,0.988434,1.003579,-0.153887,0.201104,0.119049,0
2.561807,0.044353,1.884127,0.025942,0.115084,0.968939,0.976094,0.008128,0.032749,0.299802,0
2.616683,0.054876,1.905808,0.030063,0.122853,0.961384,0.969668,-0.091443,0.241054,0.187403,0
2.681638,0.064955,1.916904,-0.011354,0.048559,0.982098,0.983364,0.102416,0.059601,0.106965,0
2.727663,0.046026,1.926121,0.040488,0.050501,0.999644,1.001738,0.123505,0.008181,0.087633,0
2.778637,0.050974,1.938083,0.089463,0.053657,0.994527,0.999983,-0.038345,0.199858,0.194289,0
2.831051,0.052414,1.954063,0.08025,0.002428,1.000619,1.003835,-0.030098,0.189473,0.18818,0
2.885523,0.054472,1.969673,0.092129,-0.007719,0.962359,0.96679,-0.117147,0.237426,0.231246,0
2.934249,0.048726,1.990154,0.07637,0.011654,0.995745,0.998738,0.010047,0.075178,0.176609,0
3.002051,0.067802,2.001892,0.047277,0.056328,0.972838,0.975613,-0.014377,0.11266,0.108564,0
3.065938,0.063887,2.012053,0.075886,0.066282,0.96309,0.968346,0.036559,0.022295,0.05589,0
3.112593,0.046655,2.020359,0.11201,0.069196,0.959435,0.968426,0.000157,0.031258,0.215033,0
3.165088,0.052495,2.036119,0.117586,0.04346,0.97235,0.980398,0.077432,0.066077,0.306968,0
3.215769,0.050681,2.049831,0.060854,0.041275,1.05009,1.052661,0.06679,-0.11037,0.188681,0
3.263461,0.047691,2.056483,0.068612,0.046859,1.077627,1.080826,0.031428,-0.10816,0.045148,0
3.309189,0.045728,2.056414,0.075401,0.018938,1.076896,1.079699,0.172201,-0.086112,0.081116,0
3.361427,0.052238,2.059821,0.039276,0.059484,1.187778,1.189915,0.036894,0.244672,0.075312,1
3.425385,0.063957,2.067874,-0.04838,0.060941,1.151955,1.15458,0.068659,0.000631,0.206343,0
3.479115,0.05373,2.075709,-0.094291,0.068468,1.058863,1.065255,0.067438,-0.060455,0.309885,0
3.518802,0.039687,2.084535,-0.14119,0.102701,0.99014,1.005415,-0.148198,-0.180185,0.173051,0
3.562958,0.044156,2.092843,-0.041715,0.086434,0.873897,0.879151,-0.163469,-0.193318,0.465044,0
3.606767,0.043809,2.112985,-0.045665,0.083521,0.876578,0.881731,-0.008004,-0.161553,0.593326,0
3.649924,0.043157,2.141482,-0.062943,0.086677,0.936527,0.942633,0.085764,-0.08825,0.637003,0
3.702446,0.052522,2.164073,-0.067633,0.102944,0.975031,0.98278,0.074768,-0.09222,0.549955,0
3.751292,0.048847,2.179388,0.007273,0.131108,0.923855,0.93314,-0.166218,0.150904,0.502307,0
3.796998,0.045706,2.198514,0.038064,0.098574,0.813216,0.820053,-0.262124,0.13716,0.294308,0
3.850619,0.053621,2.203505,0.068855,0.083763,0.856107,0.862946,-0.102078,-0.090999,0.199623,0
3.904519,0.0539,2.206226,0.093342,0.06434,0.89193,0.899106,-0.007644,-0.064729,0.005452,0
3.952848,0.04833,2.199686,0.094796,0.086191,0.979905,0.988245,-0.084232,-0.025536,-0.074755,0
3.99525,0.042402,2.187349,0.071037,0.048559,1.012317,1.015967,0.081313,-0.300731,-0.257404,0
4.040302,0.045051,2.165657,0.105464,0.054871,1.066174,1.072781,0.14637,-0.327303,-0.461433,0
4.091244,0.050942,2.137476,0.075158,0.074537,1.149031,1.153896,-0.002376,-0.259803,-0.571389,0
4.144204,0.05296,2.108184,0.059884,0.032534,1.122955,1.125021,-0.110805,-0.028285,-0.546343,0
4.188141,0.043937,2.079348,0.018668,-0.022675,1.094686,1.09508,0.197682,-0.123885,-0.605597,0
4.234026,0.045885,2.052403,-0.020981,0.016267,1.1444,1.144708,0.362311,-0.196884,-0.618731,0
4.275954,0.041928,2.022615,-0.021228,0.034234,1.086888,1.087634,0.065125,-0.198716,-0.730519,0
4.325018,0.049064,1.991112,0.029578,0.020152,0.921174,0.921869,0.018699,-0.14496,-0.639805,0
4.370262,0.045244,1.967887,0.059884,-0.016403,0.866342,0.868564,0.186076,-0.221318,-0.510913,0
4.41268,0.042418,1.949191,0.041943,0.02695,0.947981,0.949291,-0.056438,-0.128467,-0.412564,0
4.456765,0.044086,1.935963,0.081462,0.037876,0.92751,0.931851,-0.326135,0.152837,-0.222585,0
4.498571,0.041806,1.930758,0.064248,0.013354,0.889981,0.892397,-0.253136,0.089612,-0.108658,0
4.536701,0.03813,1.921132,0.011153,0.005341,0.908258,0.908342,-0.070182,-0.059439,-0.249157,0
4.585424,0.048723,1.909643,0.073219,0.020637,0.932384,0.935482,-0.103474,-0.044473,-0.21617,0
4.62398,0.038556,1.899595,0.111525,0.032777,0.926292,0.933557,-0.142875,-0.005072,-0.188071,0
4.672623,0.048643,1.891191,0.142073,0.035205,0.914351,0.925992,-0.101224,-0.049905,-0.138314,0
4.710606,0.037983,1.883055,0.161711,0.031806,0.916788,0.931484,-0.020659,-0.029829,-0.19117,0
4.752144,0.041538,1.870062,0.145952,0.031077,0.979661,0.990961,0.038289,-0.089694,-0.316092,0
4.797078,0.044934,1.854407,0.098675,0.03302,1.0613,1.066388,0.110066,-0.285476,-0.408944,0
4.838496,0.041418,1.831935,0.080492,0.065554,1.148787,1.153468,-0.171849,-0.146199,-0.605031,0
4.883373,0.044877,1.80168,0.046792,0.073809,1.120031,1.123435,-0.162686,-0.069535,-0.628855,0
4.924946,0.041574,1.779021,0.098191,0.075994,1.053989,1.061277,0.059669,0.224596,-0.142912,0
4.963043,0.038097,1.775364,-0.003456,0.078908,1.089569,1.092428,0.222465,0.162594,-0.054336,0
5.011462,0.048419,1.768678,-0.034063,0.124067,0.994283,1.002573,-0.026463,0.197413,-0.114201,0
5.049378,0.037916,1.76422,0.013819,0.085949,0.905821,0.909995,-0.15902,0.290264,-0.03204,0
5.090773,0.041395,1.758925,-0.02962,0.077451,0.891199,0.895049,-0.002595,0.130432,-0.11048,0
5.136133,0.04536,1.756297,0.062551,0.055599,0.93872,0.942443,0.120767,0.069519,0.251543,0
5.177914,0.041781,1.771027,0.061581,0.093232,0.990628,0.996909,-0.116249,0.360291,0.472066,0
5.223038,0.045124,1.78765,-0.045418,0.031563,0.991115,0.992657,0.043187,0.060662,0.225887,0
5.264592,0.041554,1.790853,-0.006665,0.064583,0.966745,0.968923,0.015457,-0.106322,0.068481,0
5.302669,0.038078,1.792073,0.077825,0.09566,0.927998,0.936156,-0.111565,-0.039213,0.088652,0
5.351387,0.048718,1.794705,0.088978,0.109257,0.898023,0.90901,-0.13523,-0.035683,0.135802,0
5.391007,0.03962,1.799521,0.104979,0.109985,0.889006,0.901914,-0.139206,-0.019915,0.094276,0
5.433472,0.042465,1.803384,0.14765,0.100031,0.904359,0.921776,-0.158143,0.03323,0.1181,0
5.482104,0.048631,1.806874,0.126314,0.050744,1.022552,1.031573,-0.012458,-0.132492,-0.011193,0
5.520108,0.038005,1.805263,0.110555,0.068953,1.183636,1.190786,-0.183195,-0.150207,-0.027075,1
5.56864,0.048532,1.805573,0.104252,0.060941,1.139283,1.145665,-0.380504,0.107578,0.005912,0
5.606706,0.038066,1.806248,0.011395,-0.026294,1.096392,1.096767,-0.103539,0.127992,-0.080674,0
5.648284,0.041578,1.80732,0.02279,-0.02557,1.111501,1.112029,0.256527,-0.011342,0.093115,0
5.693554,0.04527,1.814347,-0.01012,0.020637,1.137821,1.138053,0.12122,-0.01348,0.099224,0
5.735082,0.041528,1.8166,-0.030361,0.001942,0.982829,0.9833,0.046307,-0.055258,-0.091311,0
5.780127,0.045045,1.817728,0.023275,-0.019057,0.921418,0.921909,0.226817,-0.133754,-0.005484,0
5.82165,0.041523,1.82179,0.020365,0.02088,0.977468,0.977903,0.003862,0.011265,0.035779,0
5.866726,0.045077,1.826737,0.012607,0.01651,0.929703,0.929936,-0.104324,0.037304,0.035041,0
5.908206,0.041479,1.833056,0.027639,-0.002895,0.86951,0.869954,-0.044177,0.064962,0.059549,0
