t,dt,acc_x_g,acc_y_g,acc_z_g,acc_mag_g,gyro_x_rads,gyro_y_rads,gyro_z_rads,gyro_mag_rads,yaw_rate_used,gyro_bias,hp,state,step,step_count,heading_rad,pos_x_m,pos_y_m,walkable,sf_yaw_deg
0.000552,0.000552,0.002909,-0.034013,1.019384,1.019955,0.004398,-0.000459,-0.003222,0.005471,-0.003222,0.000000,0.017960,MOVE,0,0,-0.000002,1.000000,0.250000,1,227.124
0.150155,0.149603,0.002667,-0.033048,1.020115,1.020654,-0.001461,-0.000706,-0.001835,0.002449,-0.001835,0.000000,0.034752,MOVE,0,0,-0.000276,1.000000,0.250000,1,226.950
0.191197,0.041042,0.002424,-0.032565,1.021090,1.021612,0.000318,-0.000306,-0.002910,0.002943,-0.002910,0.000000,0.050728,MOVE,0,0,-0.000396,1.000000,0.250000,1,226.672
0.252147,0.060950,0.002424,-0.033289,1.022065,1.022609,0.001153,-0.001437,-0.003071,0.003582,-0.003071,0.000000,0.066003,MOVE,0,0,-0.000583,1.000000,0.250000,1,226.241
0.299767,0.047620,0.002909,-0.034013,1.021821,1.022391,0.002573,-0.001651,-0.002038,0.003674,-0.002038,0.000000,0.079555,MOVE,0,0,-0.000680,1.000000,0.250000,1,225.628
0.360807,0.061039,0.003152,-0.033530,1.021821,1.022376,0.000954,-0.002480,-0.003424,0.004334,-0.003424,0.000000,0.091738,MOVE,0,0,-0.000889,1.000000,0.250000,1,225.019
0.405666,0.044859,0.001697,-0.034737,1.023527,1.024117,0.000261,-0.001506,0.073292,0.073308,0.073292,0.000000,0.104269,MOVE,0,0,0.002399,1.000000,0.250000,1,224.941
0.453838,0.048172,0.002667,-0.033289,1.020602,1.021149,0.000754,-0.001402,-0.003815,0.004133,-0.003815,0.000000,0.112876,MOVE,0,0,0.002215,1.000000,0.250000,1,224.795
0.499499,0.045660,0.002667,-0.032807,1.021090,1.021620,-0.000791,-0.002523,-0.078620,0.078664,-0.078620,0.000000,0.121047,MOVE,0,0,-0.001375,1.000000,0.250000,1,224.358
0.548315,0.048816,0.001940,-0.033530,1.018653,1.019206,0.002442,-0.001232,0.000798,0.002849,0.000798,0.000000,0.126228,MOVE,0,0,-0.001336,1.000000,0.250000,1,224.026
0.596020,0.047705,0.002667,-0.033289,1.021333,1.021879,0.000569,-0.000565,-0.001934,0.002093,-0.001934,0.000000,0.133296,MOVE,0,0,-0.001428,1.000000,0.250000,1,223.671
0.638097,0.042076,0.001697,-0.033289,1.023283,1.023826,0.002268,-0.001428,-0.001257,0.002960,-0.001257,0.000000,0.141410,MOVE,0,0,-0.001481,1.000000,0.250000,1,223.461
0.687658,0.049561,0.001697,-0.033048,1.021821,1.022357,0.000693,0.001020,-0.000920,0.001538,-0.000920,0.000000,0.147390,MOVE,0,0,-0.001526,1.000000,0.250000,1,223.164
