t,dt,acc_x_g,acc_y_g,acc_z_g,acc_mag_g,gyro_x_rads,gyro_y_rads,gyro_z_rads,state,step,heading_rad,pos_x_m,pos_y_m,walkable
0.000008,0.000008,0.120496,-0.073091,1.012073,1.021838,-0.014765,0.057431,0.005915,MOVE,0,0.000000,1.000000,0.250000,1
0.131714,0.131706,0.112495,-0.076469,1.014266,1.023347,0.016981,-0.074228,-0.007960,MOVE,0,-0.001048,1.000000,0.250000,1
0.163071,0.031357,0.121223,-0.070920,1.006224,1.015978,0.020667,-0.008678,-0.004376,MOVE,0,-0.001186,1.000000,0.250000,1
0.195943,0.032872,0.121950,-0.070438,1.007930,1.017721,-0.005605,0.035041,0.000214,MOVE,0,-0.001178,1.000000,0.250000,1
0.230101,0.034158,0.117344,-0.075986,1.010611,1.020234,0.009480,0.003979,-0.004242,MOVE,0,-0.001323,1.000000,0.250000,1
0.270245,0.040144,0.119283,-0.070679,1.007443,1.016939,0.013222,-0.000027,-0.003475,MOVE,0,-0.001463,1.000000,0.250000,1
0.311362,0.041117,0.120738,-0.072850,1.002569,1.012437,0.001736,0.018941,-0.003074,MOVE,0,-0.001589,1.000000,0.250000,1
0.351063,0.039701,0.121223,-0.072127,1.006712,1.016546,0.004194,0.012642,-0.000864,MOVE,0,-0.001624,1.000000,0.250000,1
0.385050,0.033986,0.119768,-0.070438,1.008661,1.018186,0.001922,0.015269,-0.001726,MOVE,0,-0.001682,1.000000,0.250000,1
0.416414,0.031365,0.117829,-0.073091,1.007199,1.016699,0.010400,0.003666,-0.002830,MOVE,0,-0.001771,1.000000,0.250000,1
0.449623,0.033209,0.118071,-0.074780,1.006955,1.016608,0.011800,-0.001730,-0.002425,MOVE,0,-0.001852,1.000000,0.250000,1
0.485482,0.035859,0.118314,-0.072850,1.008661,1.018186,0.007939,0.002075,-0.002614,STILL,0,-0.001945,1.000000,0.250000,1
0.524430,0.038948,0.118556,-0.075745,1.009880,1.019632,0.011588,-0.001943,-0.003413,STILL,0,-0.002078,1.000000,0.250000,1
0.555793,0.031363,0.117586,-0.072368,1.008661,1.018067,0.006743,0.003751,-0.004780,STILL,0,-0.002228,1.000000,0.250000,1
0.587215,0.031422,0.117586,-0.073333,1.008661,1.018136,0.005282,0.003636,-0.002834,STILL,0,-0.002317,1.000000,0.250000,1
0.623064,0.035849,0.117344,-0.073333,1.008905,1.018350,0.008939,0.002354,-0.002455,STILL,0,-0.002405,1.000000,0.250000,1
