t,dt,acc_x_g,acc_y_g,acc_z_g,acc_mag_g,gyro_x_rads,gyro_y_rads,gyro_z_rads,gyro_mag_rads,yaw_deg,yaw_rad,hp,state,step,step_count,heading_rad,pos_x_m,pos_y_m,walkable
0.001752,0.001752,-0.104411,-0.037390,1.008905,1.014982,0.001614,0.000969,-0.002834,0.003403,94.982,1.657751,0.013484,MOVE,0,0,1.657751,1.000000,0.250000,1
0.150537,0.148784,-0.106139,-0.037872,1.008905,1.015179,0.000338,0.000405,-0.004211,0.004243,94.977,1.657656,0.025797,MOVE,0,0,1.657656,1.000000,0.250000,1
0.194357,0.043821,-0.104658,-0.037872,1.010367,1.016479,-0.000304,-0.000797,-0.001634,0.001843,94.940,1.657008,0.038048,MOVE,0,0,1.657008,1.000000,0.250000,1
0.237863,0.043506,-0.105399,-0.038114,1.008661,1.014869,0.005026,-0.001083,-0.001528,0.005364,94.843,1.655324,0.047626,MOVE,0,0,1.655324,1.000000,0.250000,1
0.281784,0.043921,-0.104905,-0.037390,1.009392,1.015518,0.002170,0.000113,-0.002304,0.003167,94.787,1.654351,0.056829,MOVE,0,0,1.654351,1.000000,0.250000,1
0.330387,0.048603,-0.105152,-0.038596,1.009392,1.015588,-0.000966,0.001013,-0.002505,0.002869,94.771,1.654061,0.065176,MOVE,0,0,1.654061,1.000000,0.250000,1
0.374148,0.043761,-0.104905,-0.037872,1.010855,1.016989,0.003256,0.000087,-0.001159,0.003458,94.756,1.653806,0.073948,MOVE,0,0,1.653806,1.000000,0.250000,1
0.418194,0.044046,-0.104658,-0.037390,1.008905,1.015008,-0.001385,0.000073,-0.001072,0.001753,94.726,1.653285,0.080060,MOVE,0,0,1.653285,1.000000,0.250000,1
0.455246,0.037052,-0.105152,-0.037631,1.009149,1.015310,-0.000471,0.000990,-0.001279,0.001685,94.711,1.653012,0.085833,MOVE,0,0,1.653012,1.000000,0.250000,1
0.504349,0.049103,-0.105399,-0.037631,1.007930,1.014124,0.000104,0.000361,-0.001511,0.001557,94.699,1.652802,0.089962,MOVE,0,0,1.652802,1.000000,0.250000,1
0.554097,0.049747,-0.104165,-0.039079,1.009149,1.015263,-0.000202,0.000318,-0.001461,0.001509,94.684,1.652555,0.094702,MOVE,0,0,1.652555,1.000000,0.250000,1
0.593197,0.039101,-0.105152,-0.037390,1.009392,1.015543,0.001590,0.001183,-0.001088,0.002261,94.671,1.652324,0.099221,MOVE,0,0,1.652324,1.000000,0.250000,1
0.638530,0.045333,-0.104658,-0.038596,1.008417,1.014568,0.001220,-0.000338,-0.001605,0.002045,94.661,1.652147,0.102410,MOVE,0,0,1.652147,1.000000,0.250000,1
