t,dt,acc_x_g,acc_y_g,acc_z_g,acc_mag_g,gyro_x_rads,gyro_y_rads,gyro_z_rads,state,step,heading_rad,pos_x_m,pos_y_m,walkable
0.000009,0.000009,0.023517,-0.023158,1.022065,1.022597,0.000530,0.001254,-0.001945,MOVE,0,-0.000000,1.000000,0.250000,1
0.134245,0.134236,0.023517,-0.022916,1.019628,1.020156,-0.000649,-0.000289,-0.000974,MOVE,0,-0.000131,1.000000,0.250000,1
0.181409,0.047163,0.025457,-0.022193,1.020846,1.021404,-0.000322,0.001242,0.000249,MOVE,0,-0.000119,1.000000,0.250000,1
0.212803,0.031394,0.023517,-0.022675,1.020602,1.021125,-0.001187,0.001536,-0.002131,MOVE,0,-0.000186,1.000000,0.250000,1
0.257304,0.044501,0.024245,-0.021228,1.022308,1.022816,0.000324,0.000884,0.000348,MOVE,0,-0.000170,1.000000,0.250000,1
0.300362,0.043058,0.022790,-0.021469,1.027913,1.028390,0.002130,-0.001517,-0.002637,MOVE,0,-0.000284,1.000000,0.250000,1
0.331737,0.031375,0.024002,-0.022675,1.024502,1.025034,0.000578,0.000916,0.000429,MOVE,0,-0.000271,1.000000,0.250000,1
0.368526,0.036789,0.022790,-0.023399,1.023039,1.023561,-0.000312,0.000274,-0.001357,MOVE,0,-0.000320,1.000000,0.250000,1
0.406453,0.037927,0.024002,-0.022916,1.018409,1.018950,0.000890,0.001461,0.001381,MOVE,0,-0.000268,1.000000,0.250000,1
0.441732,0.035279,0.024002,-0.022434,1.020359,1.020888,-0.001502,-0.002171,-0.002814,MOVE,0,-0.000367,1.000000,0.250000,1
0.478885,0.037153,0.023517,-0.021228,1.019871,1.020363,0.000335,-0.000607,-0.002190,MOVE,0,-0.000449,1.000000,0.250000,1
0.513891,0.035006,0.025457,-0.023158,1.020602,1.021182,0.001199,-0.000912,-0.001236,STILL,0,-0.000492,1.000000,0.250000,1
0.545215,0.031325,0.024972,-0.022675,1.019871,1.020429,0.002371,0.000920,0.000296,STILL,0,-0.000483,1.000000,0.250000,1
0.576561,0.031345,0.025214,-0.023158,1.020359,1.020933,-0.000651,-0.002134,-0.001796,STILL,0,-0.000539,1.000000,0.250000,1
0.607918,0.031357,0.023275,-0.022193,1.019628,1.020135,-0.000369,0.001195,-0.000224,STILL,0,-0.000546,1.000000,0.250000,1
0.639253,0.031335,0.022305,-0.022675,1.020115,1.020611,0.001155,-0.000606,-0.002589,STILL,0,-0.000627,1.000000,0.250000,1
0.670585,0.031332,0.024972,-0.021710,1.021333,1.021869,-0.000981,-0.001512,0.000150,STILL,0,-0.000622,1.000000,0.250000,1
0.701914,0.031328,0.024729,-0.023158,1.021090,1.021652,-0.000042,-0.001171,0.000745,STILL,0,-0.000599,1.000000,0.250000,1
0.734622,0.032708,0.022547,-0.022675,1.019871,1.020373,-0.000046,-0.001117,-0.001361,STILL,0,-0.000644,1.000000,0.250000,1
0.765942,0.031320,0.024729,-0.022916,1.020602,1.021159,-0.001251,-0.002266,-0.000130,STILL,0,-0.000648,1.000000,0.250000,1
0.797273,0.031332,0.023760,-0.021952,1.020602,1.021115,-0.001229,-0.000109,-0.001302,STILL,0,-0.000688,1.000000,0.250000,1
0.828647,0.031374,0.024002,-0.022193,1.019871,1.020395,-0.000272,0.000180,-0.001263,STILL,0,-0.000728,1.000000,0.250000,1
0.859994,0.031347,0.025457,-0.022193,1.018409,1.018969,0.001524,-0.001322,-0.001221,STILL,0,-0.000766,1.000000,0.250000,1
0.891336,0.031342,0.024487,-0.021952,1.020115,1.020645,-0.000904,-0.000398,-0.001180,STILL,0,-0.000803,1.000000,0.250000,1
0.922673,0.031337,0.022790,-0.022434,1.020602,1.021103,0.000302,-0.000695,0.000651,STILL,0,-0.000783,1.000000,0.250000,1
0.954111,0.031437,0.024729,-0.021952,1.021821,1.022356,0.001193,0.000509,0.000679,STILL,0,-0.000762,1.000000,0.250000,1
0.985450,0.031339,0.023760,-0.021710,1.019628,1.020135,0.001188,-0.000678,-0.000825,STILL,0,-0.000787,1.000000,0.250000,1
1.017971,0.032521,0.025942,-0.022916,1.021090,1.021676,-0.000598,0.000800,-0.000207,STILL,0,-0.000794,1.000000,0.250000,1
1.049534,0.031563,0.024245,-0.022193,1.020115,1.020644,0.002385,-0.000733,0.000411,STILL,0,-0.000781,1.000000,0.250000,1
1.080906,0.031373,0.025699,-0.022916,1.021090,1.021670,-0.001909,0.001694,-0.000784,STILL,0,-0.000806,1.000000,0.250000,1
1.112257,0.031350,0.023760,-0.023399,1.018653,1.019198,-0.002822,0.001087,-0.000157,STILL,0,-0.000811,1.000000,0.250000,1
1.144606,0.032349,0.023032,-0.022434,1.020359,1.020865,0.000550,-0.001321,0.000454,STILL,0,-0.000796,1.000000,0.250000,1
1.180020,0.035414,0.023517,-0.022916,1.020359,1.020887,-0.001240,-0.000717,0.000444,STILL,0,-0.000780,1.000000,0.250000,1
1.213163,0.033143,0.024245,-0.022434,1.020115,1.020650,-0.000628,-0.000102,0.000154,STILL,0,-0.000775,1.000000,0.250000,1
1.248102,0.034939,0.024002,-0.024846,1.019140,1.019726,-0.002144,0.000206,0.000139,STILL,0,-0.000770,1.000000,0.250000,1
1.281302,0.033200,0.024972,-0.021710,1.019628,1.020164,0.000875,0.000800,-0.000466,STILL,0,-0.000786,1.000000,0.250000,1
1.312775,0.031473,0.022790,-0.022434,1.018409,1.018911,-0.001521,-0.001003,-0.002263,STILL,0,-0.000857,1.000000,0.250000,1
1.344122,0.031348,0.023760,-0.022193,1.021577,1.022094,-0.000575,-0.000659,-0.000721,STILL,0,-0.000880,1.000000,0.250000,1
1.376233,0.032111,0.025699,-0.022916,1.018409,1.018991,0.000976,0.000579,-0.000748,STILL,0,-0.000904,1.000000,0.250000,1
1.407653,0.031420,0.024245,-0.020987,1.021090,1.021593,-0.001739,0.000529,0.000789,STILL,0,-0.000879,1.000000,0.250000,1
1.439026,0.031373,0.024245,-0.023158,1.020115,1.020666,0.001577,-0.001876,-0.000699,STILL,0,-0.000901,1.000000,0.250000,1
1.473445,0.034420,0.024002,-0.022675,1.019140,1.019675,-0.000542,-0.000011,-0.001286,STILL,0,-0.000945,1.000000,0.250000,1
1.514787,0.041342,0.023275,-0.023399,1.019871,1.020405,-0.000509,-0.000627,0.000248,STILL,0,-0.000935,1.000000,0.250000,1
1.553631,0.038844,0.024487,-0.022434,1.018897,1.019438,-0.001398,0.002402,-0.000080,STILL,0,-0.000938,1.000000,0.250000,1
1.594035,0.040404,0.023517,-0.022916,1.017922,1.018451,-0.002273,-0.000315,0.000538,STILL,0,-0.000916,1.000000,0.250000,1
1.630256,0.036222,0.024245,-0.022434,1.021577,1.022111,0.000481,-0.000309,-0.000366,STILL,0,-0.000929,1.000000,0.250000,1
1.661587,0.031331,0.024729,-0.022434,1.018165,1.018713,0.000159,0.000912,-0.001875,STILL,0,-0.000988,1.000000,0.250000,1
1.695900,0.034314,0.024002,-0.022675,1.020115,1.020649,-0.000772,-0.000594,-0.000667,STILL,0,-0.001011,1.000000,0.250000,1
1.728081,0.032181,0.025457,-0.023158,1.019628,1.020208,0.001055,-0.000279,0.000536,STILL,0,-0.000994,1.000000,0.250000,1
1.764321,0.036240,0.024002,-0.022675,1.019628,1.020162,0.000455,0.001847,0.000814,STILL,0,-0.000964,1.000000,0.250000,1
1.797242,0.032921,0.024972,-0.024364,1.021821,1.022416,-0.000151,0.001541,0.002273,STILL,0,-0.000890,1.000000,0.250000,1
1.830023,0.032781,0.024245,-0.023399,1.018653,1.019210,-0.000446,-0.001778,0.000431,STILL,0,-0.000875,1.000000,0.250000,1
1.861407,0.031384,0.024245,-0.022193,1.019628,1.020157,-0.000752,-0.000553,-0.001065,STILL,0,-0.000909,1.000000,0.250000,1
1.892845,0.031438,0.024729,-0.021469,1.019140,1.019666,-0.000997,-0.000540,-0.001350,STILL,0,-0.000951,1.000000,0.250000,1
1.924242,0.031397,0.024002,-0.023158,1.018897,1.019442,0.000263,0.000074,0.001072,STILL,0,-0.000918,1.000000,0.250000,1
