t,dt,acc_x_g,acc_y_g,acc_z_g,acc_mag_g,gyro_x_rads,gyro_y_rads,gyro_z_rads,gyro_mag_rads,yaw_deg,yaw_rad,hp,state,step,step_count,heading_rad,pos_x_m,pos_y_m,walkable
0.000721,0.000721,-0.062449,-0.019298,1.018897,1.020991,-0.001728,-0.000907,-0.000119,0.001955,51.668,0.901784,0.018892,MOVE,0,0,0.901784,1.000000,0.250000,1
0.147546,0.146825,0.000970,-0.019539,1.019384,1.019572,-0.002853,-0.000862,-0.000689,0.003059,51.641,0.901308,0.034617,MOVE,0,0,0.901308,1.000000,0.250000,1
0.191664,0.044118,-0.001481,-0.019539,1.017922,1.018110,-0.000099,-0.001424,-0.000670,0.001577,51.623,0.900983,0.047455,MOVE,0,0,0.900983,1.000000,0.250000,1
0.236532,0.044868,-0.000494,-0.020022,1.018653,1.018850,0.000502,-0.001079,-0.001222,0.001706,51.569,0.900044,0.059674,MOVE,0,0,0.900044,1.000000,0.250000,1
0.283818,0.047286,-0.000987,-0.018333,1.022308,1.022473,0.001108,-0.000454,-0.002388,0.002671,51.517,0.899133,0.073932,MOVE,0,0,0.899133,1.000000,0.250000,1
0.327479,0.043661,-0.000741,-0.018574,1.020846,1.021015,0.000502,-0.000447,0.001609,0.001744,51.494,0.898734,0.085453,MOVE,0,0,0.898734,1.000000,0.250000,1
0.378504,0.051025,-0.000987,-0.019781,1.017434,1.017627,-0.001925,-0.000435,0.000383,0.002011,51.492,0.898712,0.092772,MOVE,0,0,0.898712,1.000000,0.250000,1
0.415932,0.037428,0.001697,-0.023158,1.018165,1.018430,-0.001840,0.001979,-0.001067,0.002905,51.502,0.898878,0.100082,MOVE,0,0,0.898878,1.000000,0.250000,1
0.459736,0.043804,-0.001481,-0.017368,1.019871,1.020020,0.000349,-0.000212,-0.001034,0.001112,51.505,0.898931,0.108092,MOVE,0,0,0.898931,1.000000,0.250000,1
0.510248,0.050512,0.000242,-0.020987,1.018653,1.018869,-0.002341,-0.001382,-0.000993,0.002894,51.488,0.898638,0.114265,MOVE,0,0,0.898638,1.000000,0.250000,1
0.561406,0.051157,-0.000987,-0.017127,1.020359,1.020503,0.001253,-0.000713,-0.000068,0.001443,51.462,0.898188,0.121291,MOVE,0,0,0.898188,1.000000,0.250000,1
0.604309,0.042903,-0.000987,-0.018574,1.017922,1.018092,0.001236,0.000219,0.000536,0.001365,51.450,0.897967,0.125444,MOVE,0,0,0.897967,1.000000,0.250000,1
0.647123,0.042814,0.000242,-0.020022,1.019628,1.019824,0.000929,0.000788,-0.000672,0.001392,51.449,0.897948,0.130742,MOVE,0,0,0.897948,1.000000,0.250000,1
0.697422,0.050299,-0.000247,-0.019781,1.018653,1.018845,-0.001179,0.002331,-0.002745,0.003789,51.452,0.898004,0.134628,MOVE,0,0,0.898004,1.000000,0.250000,1
0.742306,0.044884,-0.000494,-0.019781,1.019871,1.020063,0.000091,-0.002510,0.001540,0.002946,51.467,0.898266,0.139222,MOVE,0,0,0.898266,1.000000,0.250000,1
0.790377,0.048072,-0.000987,-0.019298,1.019628,1.019811,-0.000815,-0.001299,-0.000213,0.001548,51.495,0.898755,0.143129,MOVE,0,0,0.898755,1.000000,0.250000,1
0.833789,0.043411,-0.000000,-0.020504,1.019140,1.019346,0.000451,-0.001550,-0.001989,0.002562,51.521,0.899206,0.146228,MOVE,0,0,0.899206,1.000000,0.250000,1
0.877225,0.043436,-0.000247,-0.019057,1.018165,1.018344,-0.000742,-0.001228,-0.000188,0.001447,51.526,0.899301,0.148115,MOVE,0,0,0.899301,1.000000,0.250000,1
0.931380,0.054155,-0.001481,-0.020504,1.019628,1.019835,-0.001356,0.001226,-0.001120,0.002144,51.521,0.899209,0.151155,MOVE,0,0,0.899209,1.000000,0.250000,1
0.974143,0.042763,-0.000000,-0.019781,1.017434,1.017627,-0.000073,-0.002394,-0.000224,0.002405,51.486,0.898595,0.151903,MOVE,0,0,0.898595,1.000000,0.250000,1
1.017643,0.043500,-0.000494,-0.019539,1.017922,1.018109,0.001152,-0.001734,-0.001424,0.002522,51.455,0.898055,0.153011,MOVE,0,0,0.898055,1.000000,0.250000,1
1.069665,0.052022,-0.000247,-0.019539,1.017191,1.017378,0.000254,-0.001098,-0.000482,0.001226,51.451,0.897992,0.153351,MOVE,0,0,0.897992,1.000000,0.250000,1
1.120148,0.050483,-0.000741,-0.019298,1.019871,1.020054,0.000287,0.000428,0.000152,0.000537,51.443,0.897852,0.156064,MOVE,0,0,0.897852,1.000000,0.250000,1
1.171097,0.050949,-0.000494,-0.018816,1.017678,1.017852,-0.000028,0.000717,0.000185,0.000741,51.438,0.897765,0.156525,MOVE,0,0,0.897765,1.000000,0.250000,1
1.214556,0.043459,-0.000494,-0.020504,1.019871,1.020078,0.002381,-0.001110,-0.001576,0.003063,51.411,0.897283,0.158942,MOVE,0,0,0.897283,1.000000,0.250000,1
1.265549,0.050993,-0.000247,-0.019781,1.017191,1.017383,-0.000420,-0.000509,-0.000582,0.000880,51.360,0.896397,0.158693,MOVE,0,0,0.896397,1.000000,0.250000,1
1.309595,0.044045,0.000242,-0.019057,1.019871,1.020049,-0.001285,-0.000174,-0.001444,0.001941,51.312,0.895570,0.160868,MOVE,0,0,0.895570,1.000000,0.250000,1
1.352430,0.042835,-0.000741,-0.019781,1.019384,1.019576,-0.001862,0.001351,-0.000526,0.002360,51.277,0.894956,0.162400,MOVE,0,0,0.894956,1.000000,0.250000,1
1.395099,0.042669,-0.000494,-0.020263,1.017678,1.017880,-0.000954,0.001319,-0.001997,0.002576,51.269,0.894813,0.162252,MOVE,0,0,0.894813,1.000000,0.250000,1
1.444092,0.048992,-0.000247,-0.019781,1.019140,1.019332,-0.001267,0.002515,-0.000462,0.002854,51.285,0.895099,0.163425,MOVE,0,0,0.895099,1.000000,0.250000,1
1.497527,0.053435,-0.000247,-0.020022,1.018165,1.018362,0.000578,0.000078,-0.001094,0.001240,51.283,0.895060,0.163609,MOVE,0,0,0.895060,1.000000,0.250000,1
