t,dt,acc_x_g,acc_y_g,acc_z_g,acc_mag_g,gyro_x_rads,gyro_y_rads,gyro_z_rads,gyro_mag_rads,yaw_rate_used,gyro_bias,hp,state,step,step_count,heading_rad,pos_x_m,pos_y_m,walkable,sf_yaw_deg
0.005483,0.005483,0.058914,-0.092872,1.011342,1.017305,-0.002331,-0.001778,0.000658,0.003005,-0.001778,0.000000,0.015574,MOVE,0,0,-0.000010,1.000000,0.250000,1,94.915
0.157101,0.151618,0.056247,-0.090218,1.012804,1.018369,-0.001040,-0.002035,0.001551,0.002762,-0.002035,0.000000,0.030549,MOVE,0,0,-0.000318,1.000000,0.250000,1,94.975
0.200338,0.043237,0.057217,-0.091907,1.009636,1.015424,-0.002445,0.000443,0.000593,0.002555,0.000443,0.000000,0.041375,MOVE,0,0,-0.000299,1.000000,0.250000,1,95.014
0.252927,0.052589,0.060854,-0.091183,1.013048,1.018962,-0.001783,0.000196,0.000268,0.001814,0.000196,0.000000,0.054304,MOVE,0,0,-0.000289,1.000000,0.250000,1,95.033
0.306219,0.053293,0.056005,-0.092148,1.008661,1.014409,-0.001385,-0.000129,0.000846,0.001628,-0.000129,0.000000,0.061841,MOVE,0,0,-0.000296,1.000000,0.250000,1,95.022
0.355151,0.048932,0.057945,-0.089977,1.012317,1.017958,-0.002547,-0.002790,0.000804,0.003863,-0.002790,0.000000,0.071819,MOVE,0,0,-0.000432,1.000000,0.250000,1,94.858
0.401236,0.046084,0.059642,-0.091425,1.011342,1.017216,0.000833,-0.001245,0.001950,0.002459,-0.001245,0.000000,0.080132,MOVE,0,0,-0.000490,1.000000,0.250000,1,94.688
0.449441,0.048205,0.059399,-0.092148,1.010611,1.016540,-0.001546,0.000298,0.002484,0.002941,0.000298,0.000000,0.087005,MOVE,0,0,-0.000475,1.000000,0.250000,1,94.663
0.502672,0.053231,0.057460,-0.091907,1.009149,1.014953,-0.001509,-0.001178,0.000909,0.002120,-0.001178,0.000000,0.091762,MOVE,0,0,-0.000538,1.000000,0.250000,1,94.665
0.553808,0.051136,0.062309,-0.089254,1.011098,1.016941,0.000898,0.000372,0.000554,0.001118,0.000372,0.000000,0.097832,MOVE,0,0,-0.000519,1.000000,0.250000,1,94.751
0.597114,0.043306,0.056975,-0.091666,1.011586,1.017327,-0.002955,-0.001714,0.000782,0.003505,-0.001714,0.000000,0.103643,MOVE,0,0,-0.000593,1.000000,0.250000,1,94.941
0.648268,0.051154,0.058429,-0.089977,1.012317,1.017986,0.000410,0.000133,0.000157,0.000458,0.000133,0.000000,0.109466,MOVE,0,0,-0.000586,1.000000,0.250000,1,94.998
