timestamp,dt,accel_raw_x_g,accel_raw_y_g,accel_raw_z_g,accel_raw_x_mps2,accel_raw_y_mps2,accel_raw_z_mps2,accel_filt_x_mps2,accel_filt_y_mps2,accel_filt_z_mps2,accel_lin_x_mps2,accel_lin_y_mps2,accel_lin_z_mps2,gyro_x,gyro_y,gyro_z,step_state,step_count,velocity_x,velocity_y,velocity_z,pos_x,pos_y,pos_z
1769184114.067,2.034,0.021,-0.001,1.018,0.207,-0.007,9.986,0.207,-0.065,9.983,0.002,-0.065,0.003,-0.002,0.001,0.001,INITIALIZING,0,0.003,-0.132,0.006,0.007,-0.269,0.012
1769184114.111,0.043,0.020,0.000,1.017,0.195,0.000,9.981,0.205,-0.053,9.983,-0.001,-0.053,0.003,0.001,0.000,-0.001,INITIALIZING,0,0.003,-0.135,0.006,0.007,-0.275,0.012
1769184114.161,0.050,0.021,-0.001,1.018,0.207,-0.007,9.986,0.205,-0.044,9.983,-0.000,-0.044,0.003,-0.002,-0.003,-0.000,WALKING,1,0.100,0.050,0.020,0.010,0.005,0.002
1769184114.211,0.050,0.022,-0.001,1.018,0.212,-0.009,9.988,0.207,-0.038,9.984,0.001,-0.038,0.004,-0.001,-0.000,0.000,WALKING,1,0.105,0.052,0.021,0.020,0.010,0.004
1769184114.265,0.054,0.021,-0.001,1.018,0.202,-0.012,9.986,0.206,-0.033,9.985,0.000,-0.033,0.004,-0.002,-0.002,0.000,WALKING,1,0.110,0.055,0.022,0.030,0.015,0.006
1769184114.315,0.051,0.021,0.000,1.018,0.207,0.002,9.988,0.206,-0.026,9.985,0.000,-0.026,0.005,-0.000,0.002,0.000,WALKING,1,0.115,0.058,0.023,0.040,0.020,0.008
1769184114.368,0.053,0.021,-0.002,1.018,0.205,-0.017,9.988,0.206,-0.024,9.986,0.000,-0.024,0.006,-0.001,-0.001,-0.001,WALKING,1,0.120,0.060,0.024,0.050,0.025,0.010
1769184114.411,0.043,0.023,0.000,1.017,0.221,0.000,9.981,0.209,-0.020,9.985,0.003,-0.020,0.005,-0.001,0.001,0.001,WALKING,2,0.125,0.062,0.025,0.060,0.030,0.012
1769184114.461,0.050,0.020,0.000,1.018,0.200,0.000,9.988,0.207,-0.016,9.986,0.001,-0.016,0.005,-0.002,0.000,-0.001,WALKING,2,0.130,0.065,0.026,0.070,0.035,0.014
1769184114.511,0.050,0.020,-0.001,1.018,0.197,-0.014,9.991,0.205,-0.016,9.986,-0.000,-0.016,0.006,0.002,-0.001,-0.001,WALKING,2,0.135,0.068,0.027,0.080,0.040,0.016
1769184114.565,0.054,0.022,-0.001,1.018,0.214,-0.007,9.986,0.207,-0.014,9.986,0.001,-0.014,0.006,0.001,-0.001,-0.002,WALKING,3,0.140,0.070,0.028,0.090,0.045,0.018
1769184114.615,0.050,0.022,0.000,1.018,0.216,0.000,9.988,0.209,-0.011,9.987,0.003,-0.011,0.007,0.002,-0.001,-0.001,WALKING,3,0.145,0.072,0.029,0.100,0.050,0.020
1769184114.661,0.046,0.020,-0.001,1.018,0.195,-0.009,9.988,0.206,-0.011,9.987,0.001,-0.011,0.007,0.000,-0.000,-0.002,WALKING,3,0.150,0.075,0.030,0.110,0.055,0.022
1769184114.712,0.050,0.021,0.000,1.019,0.209,0.002,9.993,0.207,-0.008,9.988,0.001,-0.008,0.008,0.001,-0.000,-0.001,WALKING,4,0.155,0.078,0.031,0.120,0.060,0.024
1769184114.762,0.050,0.021,-0.001,1.020,0.205,-0.014,10.010,0.206,-0.010,9.992,0.001,-0.010,0.012,-0.000,0.001,-0.001,WALKING,4,0.160,0.080,0.032,0.130,0.065,0.026
